鴻	鸿	hóng	eastern bean goose/great/large
來鴻去燕	来鸿去燕	lái hóng qù yàn	lit. the goose comes, the swallow goes (idiom); fig. always on the move
哀鴻遍野	哀鸿遍野	āi hóng biàn yě	lit. plaintive whine of geese (idiom); fig. land swarming with disaster victims/starving people fill the land
大鴻臚	大鸿胪	dà hóng lú	Grand Herald in imperial China, one of the Nine Ministers 九卿[jiǔ qīng]
崔鴻	崔鸿	Cuī Hóng	Cui Hong, historian at the end of Wei of the Northern Dynasties 北魏
張二鴻	张二鸿	Zhāng Èr hóng	Jung Chang 張戎|张戎[Zhāng Róng] (1952-), British-Chinese writer, author of Wild Swans 野天鵝|野天鹅[Yě Tiān é] and Mao: The Unknown Story 毛澤東·鮮為人知的故事|毛泽东·鲜为人知的故事[Máo Zé dōng · Xiān wéi rén zhī de Gù shi]
徐悲鴻	徐悲鸿	Xú Bēi hóng	Xu Beihong (1895-1953), famous European trained painter and influential art teacher
李鴻章	李鸿章	Lǐ Hóng zhāng	Li Hung-chang or Li Hongzhang (1823-1901), Qing dynasty general, politician and diplomat
波鴻	波鸿	Bō hóng	Bochum (city in Germany)
泰山鴻毛	泰山鸿毛	Tài shān hóng máo	as weighty as Mt Tai, as light as a feather (refers to death)
燕雀安知鴻鵠之志	燕雀安知鸿鹄之志	yàn què ān zhī hóng hú zhī zhì	lit. can the sparrow and swallow know the will of the great swan? (idiom)/fig. how can we small fry predict the ambitions of the great?
燕雀焉知鴻鵠之志	燕雀焉知鸿鹄之志	yàn què yān zhī hóng gǔ zhī zhì	lit. can the sparrow and swallow know the will of the great swan? (idiom); fig. how can we small fry predict the ambitions of the great?
納鴻	纳鸿	Nà hóng	Nahum
輕於鴻毛	轻于鸿毛	qīng yú hóng máo	light as a goose feather (idiom); trifling/unimportant
辜鴻銘	辜鸿铭	Gū Hóng míng	Ku Hung-ming or Gu Hongming (1857-1928), Malaysian man of letters, highly regarded for his literary works written mostly in English, and known for his monarchist views
遠方來鴻	远方来鸿	yuǎn fāng lái hóng	letter from afar (literary)
那鴻書	那鸿书	Nà hóng shū	Book of Nahum
雪泥鴻爪	雪泥鸿爪	xuě ní hóng zhǎo	a goose's footprint in the snow/vestiges of the past (idiom)/the fleeting nature of human life (idiom)
飛鴻踏雪	飞鸿踏雪	fēi hóng tà xuě	see 雪泥鴻爪|雪泥鸿爪[xuě ní hóng zhǎo]
飛鴻雪爪	飞鸿雪爪	fēi hóng xuě zhuǎ	see 雪泥鴻爪|雪泥鸿爪[xuě ní hóng zhǎo]
驚鴻	惊鸿	jīng hóng	graceful (esp. of female posture)/lithe
來鴻	来鸿	lái hóng	incoming letter (literary)
鴻圖	鸿图	hóng tú	variant of 宏圖|宏图[hóng tú]
鴻圖大計	鸿图大计	hóng tú dà jì	important large scale project
鴻毛泰山	鸿毛泰山	hóng máo Tài Shān	lit. light as a goose feather, heavy as Mt Tai (idiom)/fig. of no consequence to one person, a matter of life or death to another
鴻毛泰岱	鸿毛泰岱	hóng máo tài dài	light as a goose feather, heavy as Mt Tai (idiom); of no consequence to one person, a matter of life or death to another
鴻海	鸿海	Hóng hǎi	Hon Hai Precision Industry Company, Taiwan technology company, aka Foxconn
鴻溝	鸿沟	hóng gōu	(fig.) gulf/chasm/wide gap/(originally) the Hong Canal in Henan, which in ancient times formed the border between enemies Chu 楚 and Han 漢|汉
鴻福	鸿福	hóng fú	variant of 洪福[hóng fú]
鴻章	鸿章	Hóng zhāng	Li Hung-chang or Li Hongzhang (1823-1901), Qing dynasty general, politician and diplomat
鴻運	鸿运	hóng yùn	variant of 紅運|红运[hóng yùn]
鴻門宴	鸿门宴	Hóng mén Yàn	Feast at Hongmen/(fig.) banquet set up with the aim of murdering a guest/refers to a famous episode in 206 BC when future Han emperor Liu Bang 劉邦|刘邦[Liú Bāng] escaped attempted murder by his rival Xiang Yu 項羽|项羽[Xiàng Yǔ]
鴻雁	鸿雁	hóng yàn	(bird species of China) swan goose (Anser cygnoides)
鴻鵠	鸿鹄	hóng hú	swan/person with noble aspirations
黃飛鴻	黄飞鸿	Huáng Fēi hóng	Wong Fei Hung (1847-1924), famous martial artist and revolutionary
