鵐	鹀	wú	bunting (bird)/also pr. [wū]
圃鵐	圃鹀	pǔ wú	(bird species of China) ortolan bunting (Emberiza hortulana)
小鵐	小鹀	xiǎo wú	(bird species of China) little bunting (Emberiza pusilla)
戈氏岩鵐	戈氏岩鹀	Gē shì yán wú	(bird species of China) Godlewski's bunting (Emberiza godlewskii)
朱鵐	朱鹀	zhū wú	(bird species of China) Przevalski's finch (Urocynchramus pylzowi)
栗斑腹鵐	栗斑腹鹀	lì bān fù wú	(bird species of China) Jankowski's bunting (Emberiza jankowskii)
栗耳鵐	栗耳鹀	lì ěr wú	(bird species of China) chestnut-eared bunting (Emberiza fucata)
栗鵐	栗鹀	lì wú	(bird species of China) chestnut bunting (Emberiza rutila)
淡灰眉岩鵐	淡灰眉岩鹀	dàn huī méi yán wú	(bird species of China) rock bunting (Emberiza cia)
灰頭鵐	灰头鹀	huī tóu wú	(bird species of China) black-faced bunting (Emberiza spodocephala)
灰頸鵐	灰颈鹀	huī jǐng wú	(bird species of China) grey-necked bunting (Emberiza buchanani)
灰鵐	灰鹀	huī wú	(bird species of China) grey bunting (Emberiza variabilis)
田鵐	田鹀	tián wú	(bird species of China) rustic bunting (Emberiza rustica)
白眉鵐	白眉鹀	bái méi wú	(bird species of China) Tristram's bunting (Emberiza tristrami)
白頂鵐	白顶鹀	bái dǐng wú	(bird species of China) white-capped bunting (Emberiza stewarti)
白頭鵐	白头鹀	bái tóu wú	(bird species of China) pine bunting (Emberiza leucocephalos)
硫磺鵐	硫磺鹀	liú huáng wú	(bird species of China) yellow bunting (Emberiza sulphurata)
紅頸葦鵐	红颈苇鹀	hóng jǐng wěi wú	(bird species of China) Japanese reed bunting (Emberiza yessoensis)
聲鵐	声鹀	shēng wú	(bird species of China) common reed bunting (Emberiza schoeniclus)
葦鵐	苇鹀	wěi wú	(bird species of China) Pallas's reed bunting (Emberiza pallasi)
藍鵐	蓝鹀	lán wú	(bird species of China) slaty bunting (Emberiza siemsseni)
藏鵐	藏鹀	Zàng wú	(bird species of China) Tibetan bunting (Emberiza koslowi)
褐頭鵐	褐头鹀	hè tóu wú	(bird species of China) red-headed bunting (Emberiza bruniceps)
鐵爪鵐	铁爪鹀	tiě zhǎo wú	(bird species of China) Lapland longspur (Calcarius lapponicus)
雪鵐	雪鹀	xuě wú	(bird species of China) snow bunting (Plectrophenax nivalis)
鳳頭鵐	凤头鹀	fèng tóu wú	(bird species of China) crested bunting (Emberiza lathami)
三道眉草鵐	三道眉草鹀	sān dào méi cǎo wú	(bird species of China) meadow bunting (Emberiza cioides)
黃喉鵐	黄喉鹀	huáng hóu wú	(bird species of China) yellow-throated bunting (Emberiza elegans)
黃眉鵐	黄眉鹀	huáng méi wú	(bird species of China) yellow-browed bunting (Emberiza chrysophrys)
黃胸鵐	黄胸鹀	huáng xiōng wú	(bird species of China) yellow-breasted bunting (Emberiza aureola)
黃鵐	黄鹀	huáng wú	(bird species of China) yellowhammer (Emberiza citrinella)
黍鵐	黍鹀	shǔ wú	(bird species of China) corn bunting (Emberiza calandra)
黑頭鵐	黑头鹀	hēi tóu wú	(bird species of China) black-headed bunting (Emberiza melanocephala)
