鵑	鹃	juān	cuckoo
八聲杜鵑	八声杜鹃	bā shēng dù juān	(bird species of China) plaintive cuckoo (Cacomantis merulinus)
北方中杜鵑	北方中杜鹃	běi fāng zhōng dù juān	(bird species of China) oriental cuckoo (Cuculus optatus)
北鷹鵑	北鹰鹃	běi yīng juān	(bird species of China) rufous hawk-cuckoo (Hierococcyx hyperythrus)
周瘦鵑	周瘦鹃	Zhōu Shòu juān	Zhou Shoujuan (1895-1968), writer, translator and art collector in Suzhou, a victim of the Cultural Revolution
噪鵑	噪鹃	zào juān	(bird species of China) Asian koel (Eudynamys scolopaceus)
四聲杜鵑	四声杜鹃	sì shēng dù juān	(bird species of China) Indian cuckoo (Cuculus micropterus)
大杜鵑	大杜鹃	dà dù juān	(bird species of China) common cuckoo (Cuculus canorus)
大鵑鶪	大鹃䴗	dà juān jú	(bird species of China) large cuckooshrike (Coracina macei)
小杜鵑	小杜鹃	xiǎo dù juān	(bird species of China) lesser cuckoo (Cuculus poliocephalus)
小鴉鵑	小鸦鹃	xiǎo yā juān	(bird species of China) lesser coucal (Centropus bengalensis)
小鵑鳩	小鹃鸠	xiǎo juān jiū	(bird species of China) little cuckoo-dove (Macropygia ruficeps)
斑尾鵑鳩	斑尾鹃鸠	bān wěi juān jiū	(bird species of China) barred cuckoo-dove (Macropygia unchall)
斑翅鳳頭鵑	斑翅凤头鹃	bān chì fèng tóu juān	(bird species of China) pied cuckoo (Clamator jacobinus)
普通鷹鵑	普通鹰鹃	pǔ tōng yīng juān	(bird species of China) common hawk-cuckoo (Hierococcyx varius)
暗灰鵑鶪	暗灰鹃䴗	àn huī juān jú	(bird species of China) black-winged cuckooshrike (Coracina melaschistos)
杜鵑	杜鹃	dù juān	cuckoo (Cercococcyx spp., also written 杜鵑鳥|杜鹃鸟)/Indian azalea (Rhododendron simsii Planch, also written 杜鵑花|杜鹃花)
杜鵑啼血	杜鹃啼血	dù juān tí xuè	the cuckoo cries blood/fig. plaintive lament
杜鵑座	杜鹃座	Dù juān zuò	Tucana (constellation)
杜鵑科	杜鹃科	dù juān kē	Cuculidae, bird family including cuckoo 杜鵑鳥|杜鹃鸟
杜鵑花	杜鹃花	dù juān huā	Indian Azalea (Rhododendron simsii Planch)
杜鵑花科	杜鹃花科	dù juān huā kē	Ericaceae (botany), genus containing rhododendron and azalea
杜鵑鳥	杜鹃鸟	dù juān niǎo	cuckoo (Cercococcyx spp.)
栗斑杜鵑	栗斑杜鹃	lì bān dù juān	(bird species of China) banded bay cuckoo (Cacomantis sonneratii)
棕腹杜鵑	棕腹杜鹃	zōng fù dù juān	(bird species of China) Malaysian hawk-cuckoo (Hierococcyx fugax)
橙胸咬鵑	橙胸咬鹃	chéng xiōng yǎo juān	(bird species of China) orange-breasted trogon (Harpactes oreskios)
烏鵑	乌鹃	wū juān	(bird species of China) fork-tailed drongo-cuckoo (Surniculus dicruroides)
紅翅鳳頭鵑	红翅凤头鹃	hóng chì fèng tóu juān	(bird species of China) chestnut-winged cuckoo (Clamator coromandus)
紅腹咬鵑	红腹咬鹃	hóng fù yǎo juān	(bird species of China) Ward's trogon (Harpactes wardi)
紅頭咬鵑	红头咬鹃	hóng tóu yǎo juān	(bird species of China) red-headed trogon (Harpactes erythrocephalus)
紫金鵑	紫金鹃	zǐ jīn juān	(bird species of China) violet cuckoo (Chrysococcyx xanthorhynchus)
綠嘴地鵑	绿嘴地鹃	lǜ zuǐ dì juān	(bird species of China) green-billed malkoha (Phaenicophaeus tristis)
翠金鵑	翠金鹃	cuì jīn juān	(bird species of China) Asian emerald cuckoo (Chrysococcyx maculatus)
茹誌鵑	茹志鹃	Rú Zhì juān	Ru Zhijuan (1925-1998), female novelist and politician
菲律賓鵑鳩	菲律宾鹃鸠	Fēi lǜ bīn juān jiū	(bird species of China) Philippine cuckoo-dove (Macropygia tenuirostris)
褐冠鵑隼	褐冠鹃隼	hè guān juān sǔn	(bird species of China) Jerdon's baza (Aviceda jerdoni)
褐翅鴉鵑	褐翅鸦鹃	hè chì yā juān	(bird species of China) greater coucal (Centropus sinensis)
霍氏鷹鵑	霍氏鹰鹃	Huò shì yīng juān	(bird species of China) Hodgson's hawk-cuckoo (Hierococcyx nisicolor)
中杜鵑	中杜鹃	zhōng dù juān	(bird species of China) Himalayan cuckoo (Cuculus saturatus)
鵑形目	鹃形目	juān xíng mù	Cuculiformes, order of birds including cuckoo
鷹鵑	鹰鹃	yīng juān	(bird species of China) large hawk-cuckoo (Hierococcyx sparverioides)
黑冠鵑隼	黑冠鹃隼	hēi guān juān sǔn	(bird species of China) black baza (Aviceda leuphotes)
