鵝	鹅	é	goose/CL:隻|只[zhī]
千里寄鵝毛	千里寄鹅毛	qiān lǐ jì é máo	goose feather sent from afar (idiom); a trifling present with a weighty thought behind it/also written 千里送鵝毛|千里送鹅毛
千里送鵝毛	千里送鹅毛	qiān lǐ sòng é máo	goose feather sent from afar (idiom); a trifling present with a weighty thought behind it
千里送鵝毛，禮輕人意重	千里送鹅毛，礼轻人意重	qiān lǐ sòng é máo , lǐ qīng rén yì zhòng	goose feather sent from afar, a slight present but weighty meaning (idiom); It's not the present the counts, it's the thought behind it.
千里送鵝毛，禮輕情意重	千里送鹅毛，礼轻情意重	qiān lǐ sòng é máo , lǐ qīng qíng yì zhòng	goose feather sent from afar, a trifling present with a weighty thought behind it (idiom); It's not the gift that counts, but the thought behind it.
千里鵝毛	千里鹅毛	qiān lǐ é máo	goose feather sent from afar (idiom); a trifling gift with a weighty thought behind it/also written 千里送鵝毛|千里送鹅毛[qiān lǐ sòng é máo]
塘鵝	塘鹅	táng é	pelican (Morus bassanus)/gannet/booby
大天鵝	大天鹅	dà tiān é	(bird species of China) whooper swan (Cygnus cygnus)
天鵝	天鹅	tiān é	swan
天鵝座	天鹅座	Tiān é zuò	Cygnus (constellation)
天鵝湖	天鹅湖	Tiān é Hú	Swan Lake
天鵝絨	天鹅绒	tiān é róng	velvet/swan's down
小天鵝	小天鹅	Xiǎo tiān é	Little Swan (PRC appliance brand)
小天鵝	小天鹅	xiǎo tiān é	(bird species of China) tundra swan (Cygnus columbianus)
小鵝	小鹅	xiǎo é	gosling
帝王企鵝	帝王企鹅	dì wáng qǐ é	emperor penguin
殺雞宰鵝	杀鸡宰鹅	shā jī zǎi é	kill the chickens and butcher the geese (idiom)
然鵝	然鹅	rán é	(Internet slang for 然而[rán ér]) however
疣鼻天鵝	疣鼻天鹅	yóu bí tiān é	(bird species of China) mute swan (Cygnus olor)
癩蛤蟆想吃天鵝肉	癞蛤蟆想吃天鹅肉	lài há ma xiǎng chī tiān é ròu	lit. the toad wants to eat swan meat (idiom)/fig. to try to punch above one's weight
禮輕人意重，千里送鵝毛	礼轻人意重，千里送鹅毛	lǐ qīng rén yì zhòng , qiān lǐ sòng é máo	goose feather sent from afar, a slight present but weighty meaning (idiom); It's not the present the counts, it's the thought behind it.
野天鵝	野天鹅	Yě Tiān é	Wild Swans, family autobiography by British-Chinese writer Jung Chang 張戎|张戎[Zhāng Róng]/alternative title 鴻|鸿, after the author's original name 張二鴻|张二鸿[Zhāng Èr hóng]
企鵝	企鹅	qǐ é	penguin
鵝卵石	鹅卵石	é luǎn shí	pebble/cobblestone
鵝喉羚	鹅喉羚	é hóu líng	goitered gazelle (Gazella subgutturosa) of Xinjiang
鵝掌楸	鹅掌楸	é zhǎng qiū	Chinese tulip tree/Liriodendron chinense
鵝毛	鹅毛	é máo	goose feather
鵝毛大雪	鹅毛大雪	é máo dà xuě	goose feather snow (idiom)/big heavy snow fall
鵝毛筆	鹅毛笔	é máo bǐ	quill pen
鵝絨	鹅绒	é róng	goose down
鵝肝	鹅肝	é gān	foie gras
鵝膏蕈	鹅膏蕈	é gāo xùn	Amanita (genus of deadly mushrooms)
鵝膏蕈素	鹅膏蕈素	é gāo xùn sù	amanitin
鵝莓	鹅莓	é méi	gooseberry
鵝鑾鼻	鹅銮鼻	É luán bí	Cape Eluanpi or Eluanbi, southernmost point of Taiwan Island
