鵬	鹏	Péng	Peng, large fabulous bird/roc
大鵬鳥	大鹏鸟	dà péng niǎo	roc (mythical bird of prey)
李亞鵬	李亚鹏	Lǐ Yà péng	Li Yapeng (1971-), PRC actor
李鵬	李鹏	Lǐ Péng	Li Peng (1928-), leading PRC politician, prime minister 1987-1998, reportedly leader of the conservative faction advocating the June 1989 Tiananmen clampdown
酷鵬	酷鹏	kù péng	coupon (loanword)
鯤鵬	鲲鹏	kūn péng	kun 鯤|鲲[kūn] and peng 鵬|鹏[Péng], mythological beasts/peng, a gigantic bird transformed from the kun
鯤鵬展翅	鲲鹏展翅	kūn péng zhǎn chì	lit. the giant Peng bird spreads its wings and begins to fly/displaying awesome power and momentum at the outset/to have the world at one's feet
大鵬	大鹏	dà péng	legendary giant bird
鵬摶	鹏抟	péng tuán	to strive for greatness
鵬程萬里	鹏程万里	péng chéng wàn lǐ	the fabled roc flies ten thousand miles (idiom)/one's future prospects are brilliant
鵬飛	鹏飞	péng fēi	flight of the roc (used in names)/soaring flight
鵬鳥	鹏鸟	péng niǎo	roc (mythical bird of prey)/great talent
黃鵬	黄鹏	huáng péng	oriole/black-naped oriole (Oriolus chinensis)
