鵰	雕	diāo	bird of prey
射鵰英雄傳	射雕英雄传	Shè Diāo Yīng xióng Zhuàn	Legend of the Condor Heroes, wuxia (武侠, martial arts chivalry) novel by Jin Yong 金庸 and its screen adaptations
林鵰	林雕	lín diāo	(bird species of China) black eagle (Ictinaetus malaiensis)
林鵰鴞	林雕鸮	lín diāo xiāo	(bird species of China) spot-bellied eagle-owl (Bubo nipalensis)
棕腹隼鵰	棕腹隼雕	zōng fù sǔn diāo	(bird species of China) rufous-bellied eagle (Lophotriorchis kienerii)
烏鵰	乌雕	wū diāo	(bird species of China) greater spotted eagle (Aquila clanga)
烏鵰鴞	乌雕鸮	wū diāo xiāo	(bird species of China) dusky eagle-owl (Bubo coromandus)
玉帶海鵰	玉带海雕	yù dài hǎi diāo	(bird species of China) Pallas's fish eagle (Haliaeetus leucoryphus)
白尾海鵰	白尾海雕	bái wěi hǎi diāo	(bird species of China) white-tailed eagle (Haliaeetus albicilla)
白肩鵰	白肩雕	bái jiān diāo	(bird species of China) eastern imperial eagle (Aquila heliaca)
白腹海鵰	白腹海雕	bái fù hǎi diāo	(bird species of China) white-bellied sea eagle (Haliaeetus leucogaster)
白腹隼鵰	白腹隼雕	bái fù sǔn diāo	(bird species of China) Bonelli's eagle (Aquila fasciata)
白頭海鵰	白头海雕	bái tóu hǎi diāo	bald eagle (Haliaeetus leucocephalus), the national bird of the United States
短趾鵰	短趾雕	duǎn zhǐ diāo	(bird species of China) short-toed snake eagle (Circaetus gallicus)
神鵰俠侶	神雕侠侣	Shén diāo Xiá lǚ	The Return of the Condor Heroes (classic wuxia martial arts TV films of 1998 and 2006 based on novel by Jinyong 金庸)
老鵰	老雕	lǎo diāo	vulture
草原鵰	草原雕	cǎo yuán diāo	(bird species of China) steppe eagle (Aquila nipalensis)
虎頭海鵰	虎头海雕	hǔ tóu hǎi diāo	(bird species of China) Steller's sea eagle (Haliaeetus pelagicus)
蛇鵰	蛇雕	shé diāo	(bird species of China) crested serpent eagle (Spilornis cheela)
金鵰	金雕	jīn diāo	(bird species of China) golden eagle (Aquila chrysaetos)
靴隼鵰	靴隼雕	xuē sǔn diāo	(bird species of China) booted eagle (Hieraaetus pennatus)
一箭雙鵰	一箭双雕	yī jiàn shuāng diāo	lit. one arrow, two golden eagles (idiom)/to kill two birds with one stone
鵰具座	雕具座	Diāo jù zuò	Caelum (constellation)
鵰鴞	雕鸮	diāo xiāo	(bird species of China) Eurasian eagle-owl (Bubo bubo)
鷹鵰	鹰雕	yīng diāo	(bird species of China) mountain hawk-eagle (Nisaetus nipalensis)/aka Hodgson's hawk-eagle
