鶇	鸫	dōng	thrush/Tardus fuscatus
光背地鶇	光背地鸫	guāng bèi dì dōng	(bird species of China) plain-backed thrush (Zoothera mollissima)
大場鶇	大场鸫	Dà chǎng Dōng	OHBA Tsugumi (pen-name), author of cult series Death Note 死亡筆記|死亡笔记[sǐ wáng bǐ jì]
大長嘴地鶇	大长嘴地鸫	dà cháng zuǐ dì dōng	(bird species of China) long-billed thrush (Zoothera monticola)
寶興歌鶇	宝兴歌鸫	Bǎo xīng gē dōng	(bird species of China) Chinese thrush (Turdus mupinensis)
島鶇	岛鸫	dǎo dōng	(bird species of China) island thrush (Turdus poliocephalus)
懷氏虎鶇	怀氏虎鸫	Huái shì hǔ dōng	(bird species of China) White's thrush (Zoothera aurea)
斑鶇	斑鸫	bān dōng	(bird species of China) dusky thrush (Turdus eunomus)
栗背短翅鶇	栗背短翅鸫	lì bèi duǎn chì dōng	(bird species of China) Gould's shortwing (Heteroxenicus stellatus)
栗腹磯鶇	栗腹矶鸫	lì fù jī dōng	(bird species of China) chestnut-bellied rock thrush (Monticola rufiventris)
栗頭八色鶇	栗头八色鸫	lì tóu bā sè dōng	(bird species of China) rusty-naped pitta (Hydrornis oatesi)
梯氏鶇	梯氏鸫	Tī shì dōng	(bird species of China) Tickell's thrush (Turdus unicolor)
棕背黑頭鶇	棕背黑头鸫	zōng bèi hēi tóu dōng	(bird species of China) Kessler's thrush (Turdus kessleri)
槲鶇	槲鸫	hú dōng	(bird species of China) mistle thrush (Turdus viscivorus)
橙頭地鶇	橙头地鸫	chéng tóu dì dōng	(bird species of China) orange-headed thrush (Geokichla citrina)
歐歌鶇	欧歌鸫	Ōu gē dōng	(bird species of China) song thrush (Turdus philomelos)
灰翅鶇	灰翅鸫	huī chì dōng	(bird species of China) grey-winged blackbird (Turdus boulboul)
灰背鶇	灰背鸫	huī bèi dōng	(bird species of China) grey-backed thrush (Turdus hortulorum)
灰頭鶇	灰头鸫	huī tóu dōng	(bird species of China) chestnut thrush (Turdus rubrocanus)
烏灰鶇	乌灰鸫	wū huī dōng	(bird species of China) Japanese thrush (Turdus cardis)
烏鶇	乌鸫	wū dōng	(bird species of China) common blackbird (Turdus merula)
田鶇	田鸫	tián dōng	(bird species of China) fieldfare (Turdus pilaris)
白喉短翅鶇	白喉短翅鸫	bái hóu duǎn chì dōng	(bird species of China) lesser shortwing (Brachypteryx leucophris)
白喉磯鶇	白喉矶鸫	bái hóu jī dōng	(bird species of China) white-throated rock thrush (Monticola gularis)
白眉地鶇	白眉地鸫	bái méi dì dōng	(bird species of China) Siberian thrush (Geokichla sibirica)
白眉歌鶇	白眉歌鸫	bái méi gē dōng	(bird species of China) redwing (Turdus iliacus)
白眉鶇	白眉鸫	bái méi dōng	(bird species of China) eyebrowed thrush (Turdus obscurus)
白背磯鶇	白背矶鸫	bái bèi jī dōng	(bird species of China) common rock thrush (Monticola saxatilis)
白腹鶇	白腹鸫	bái fù dōng	(bird species of China) pale thrush (Turdus pallidus)
白頸鶇	白颈鸫	bái jǐng dōng	(bird species of China) white-collared blackbird (Turdus albocinctus)
紅尾鶇	红尾鸫	hóng wěi dōng	(bird species of China) Naumann's thrush (Turdus naumanni)
紫嘯鶇	紫啸鸫	zǐ xiào dōng	(bird species of China) blue whistling thrush (Myophonus caeruleus)
紫寬嘴鶇	紫宽嘴鸫	zǐ kuān zuǐ dōng	(bird species of China) purple cochoa (Cochoa purpurea)
綠寬嘴鶇	绿宽嘴鸫	lǜ kuān zuǐ dōng	(bird species of China) green cochoa (Cochoa viridis)
綠胸八色鶇	绿胸八色鸫	lǜ xiōng bā sè dōng	(bird species of China) hooded pitta (Pitta sordida)
臺灣紫嘯鶇	台湾紫啸鸫	Tái wān zǐ xiào dōng	(bird species of China) Taiwan whistling thrush (Myophonus insularis)
藍八色鶇	蓝八色鸫	lán bā sè dōng	(bird species of China) blue pitta (Hydrornis cyaneus)
藍枕八色鶇	蓝枕八色鸫	lán zhěn bā sè dōng	(bird species of China) blue-naped pitta (Hydrornis nipalensis)
藍短翅鶇	蓝短翅鸫	lán duǎn chì dōng	(bird species of China) white-browed shortwing (Brachypteryx montana)
藍磯鶇	蓝矶鸫	lán jī dōng	(bird species of China) blue rock thrush (Monticola solitarius)
藍翅八色鶇	蓝翅八色鸫	lán chì bā sè dōng	(bird species of China) blue-winged pitta (Pitta moluccensis)
藍背八色鶇	蓝背八色鸫	lán bèi bā sè dōng	(bird species of China) blue-rumped pitta (Hydrornis soror)
虎斑地鶇	虎斑地鸫	hǔ bān dì dōng	(bird species of China) scaly thrush (Zoothera dauma)
褐頭鶇	褐头鸫	hè tóu dōng	(bird species of China) grey-sided thrush (Turdus feae)
赤胸鶇	赤胸鸫	chì xiōng dōng	(bird species of China) brown-headed thrush (Turdus chrysolaus)
赤頸鶇	赤颈鸫	chì jǐng dōng	(bird species of China) red-throated thrush (Turdus ruficollis)
鏽腹短翅鶇	锈腹短翅鸫	xiù fù duǎn chì dōng	(bird species of China) rusty-bellied shortwing (Brachypteryx hyperythra)
