鶥	鹛	méi	babbler (bird)
印緬褐頭雀鶥	印缅褐头雀鹛	yìn miǎn hè tóu què méi	(bird species of China) manipur fulvetta (Fulvetta manipurensis)
大噪鶥	大噪鹛	dà zào méi	(bird species of China) giant laughingthrush (Garrulax maximus)
大草鶥	大草鹛	dà cǎo méi	(bird species of China) giant babax (Babax waddelli)
寶興鶥雀	宝兴鹛雀	Bǎo xìng méi què	(bird species of China) rufous-tailed babbler (Moupinia poecilotis)
小鱗胸鷦鶥	小鳞胸鹪鹛	xiǎo lín xiōng jiāo méi	(bird species of China) pygmy wren-babbler (Pnoepyga pusilla)
小黑領噪鶥	小黑领噪鹛	xiǎo hēi lǐng zào méi	(bird species of China) lesser necklaced laughingthrush (Garrulax monileger)
尼泊爾鷦鶥	尼泊尔鹪鹛	Ní bó ěr jiāo méi	(bird species of China) Nepal wren-babbler (Pnoepyga immaculata)
山噪鶥	山噪鹛	shān zào méi	(bird species of China) plain laughingthrush (Garrulax davidi)
山鶥	山鹛	shān méi	(bird species of China) Chinese hill warbler (Rhopophilus pekinensis)
弄崗穗鶥	弄岗穗鹛	Nòng gǎng suì méi	(bird species of China) Nonggang babbler (Stachyris nonggangensis)
斑喉希鶥	斑喉希鹛	bān hóu xī méi	(bird species of China) bar-throated minla (Minla strigula)
斑翅鷯鶥	斑翅鹩鹛	bān chì liáo méi	(bird species of China) bar-winged wren-babbler (Spelaeornis troglodytoides)
斑背噪鶥	斑背噪鹛	bān bèi zào méi	(bird species of China) barred laughingthrush (Garrulax lunulatus)
斑胸噪鶥	斑胸噪鹛	bān xiōng zào méi	(bird species of China) spot-breasted laughingthrush (Garrulax merulinus)
斑胸鉤嘴鶥	斑胸钩嘴鹛	bān xiōng gōu zuǐ méi	(bird species of China) black-streaked scimitar babbler (Pomatorhinus gravivox)
斑脅姬鶥	斑胁姬鹛	bān xié jī méi	(bird species of China) Himalayan cutia (Cutia nipalensis)
斑頸穗鶥	斑颈穗鹛	bān jǐng suì méi	(bird species of China) spot-necked babbler (Stachyris strialata)
栗喉鶪鶥	栗喉䴗鹛	lì hóu jú méi	(bird species of China) black-eared shrike-babbler (Pteruthius melanotis)
栗耳鳳鶥	栗耳凤鹛	lì ěr fèng méi	(bird species of China) Indochinese yuhina (Yuhina torqueola)
栗背奇鶥	栗背奇鹛	lì bèi qí méi	(bird species of China) rufous-backed sibia (Heterophasia annectans)
栗頭雀鶥	栗头雀鹛	lì tóu què méi	(bird species of China) rufous-winged fulvetta (Alcippe castaneceps)
栗頰噪鶥	栗颊噪鹛	lì jiá zào méi	(bird species of China) rufous-cheeked laughingthrush (Garrulax castanotis)
栗頸噪鶥	栗颈噪鹛	lì jǐng zào méi	(bird species of China) rufous-necked laughingthrush (Garrulax ruficollis)
栗額鶪鶥	栗额䴗鹛	lì é jú méi	(bird species of China) chestnut-fronted shrike-babbler (Pteruthius intermedius)
條紋噪鶥	条纹噪鹛	tiáo wén zào méi	(bird species of China) striated laughingthrush (Garrulax striatus)
棕喉雀鶥	棕喉雀鹛	zōng hóu què méi	(bird species of China) rufous-throated fulvetta (Alcippe rufogularis)
棕噪鶥	棕噪鹛	zōng zào méi	(bird species of China) buffy laughingthrush (Garrulax berthemyi)
棕肛鳳鶥	棕肛凤鹛	zōng gāng fèng méi	(bird species of China) rufous-vented yuhina (Yuhina occipitalis)
棕胸雅鶥	棕胸雅鹛	zōng xiōng yǎ méi	(bird species of China) buff-breasted babbler (Pellorneum tickelli)
棕腹鶪鶥	棕腹䴗鹛	zōng fù jú méi	(bird species of China) black-headed shrike-babbler (Pteruthius rufiventer)
棕臀噪鶥	棕臀噪鹛	zōng tún zào méi	(bird species of China) rufous-vented laughingthrush (Garrulax gularis)
棕草鶥	棕草鹛	zōng cǎo méi	(bird species of China) Tibetan babax (Babax koslowi)
棕頦噪鶥	棕颏噪鹛	zōng kē zào méi	(bird species of China) rufous-chinned laughingthrush (Garrulax rufogularis)
棕頭幽鶥	棕头幽鹛	zōng tóu yōu méi	(bird species of China) puff-throated babbler (Pellorneum ruficeps)
棕頭鉤嘴鶥	棕头钩嘴鹛	zōng tóu gōu zuǐ méi	(bird species of China) red-billed scimitar babbler (Pomatorhinus ochraceiceps)
棕頭雀鶥	棕头雀鹛	zōng tóu què méi	(bird species of China) spectacled fulvetta (Fulvetta ruficapilla)
棕頸鉤嘴鶥	棕颈钩嘴鹛	zōng jǐng gōu zuǐ méi	(bird species of China) streak-breasted scimitar babbler (Pomatorhinus ruficollis)
楔嘴鷯鶥	楔嘴鹩鹛	xiē zuǐ liáo méi	(bird species of China) Cachar wedge-billed babbler (Sphenocichla roberti)
橙翅噪鶥	橙翅噪鹛	chéng chì zào méi	(bird species of China) Elliot's laughingthrush (Trochalopteron elliotii)
淡喉鷯鶥	淡喉鹩鹛	dàn hóu liáo méi	(bird species of China) pale-throated wren-babbler (Spelaeornis kinneari)
淡綠鶪鶥	淡绿䴗鹛	dàn lǜ jú méi	(bird species of China) green shrike-babbler (Pteruthius xanthochlorus)
火尾希鶥	火尾希鹛	huǒ wěi xī méi	(bird species of China) red-tailed minla (Minla ignotincta)
火尾綠鶥	火尾绿鹛	huǒ wěi lǜ méi	(bird species of China) fire-tailed myzornis (Myzornis pyrrhoura)
灰奇鶥	灰奇鹛	huī qí méi	(bird species of China) grey sibia (Heterophasia gracilis)
灰岩鷦鶥	灰岩鹪鹛	huī yán jiāo méi	(bird species of China) limestone wren-babbler (Napothera crispifrons)
灰眶雀鶥	灰眶雀鹛	huī kuàng què méi	(bird species of China) David's fulvetta (Alcippe davidi)
灰翅噪鶥	灰翅噪鹛	huī chì zào méi	(bird species of China) moustached laughingthrush (Garrulax cineraceus)
灰胸藪鶥	灰胸薮鹛	huī xiōng sǒu méi	(bird species of China) Emei Shan liocichla (Liocichla omeiensis)
灰脅噪鶥	灰胁噪鹛	huī xié zào méi	(bird species of China) grey-sided laughingthrush (Garrulax caerulatus)
灰腹噪鶥	灰腹噪鹛	huī fù zào méi	(bird species of China) brown-cheeked laughingthrush (Trochalopteron henrici)
灰頭斑翅鶥	灰头斑翅鹛	huī tóu bān chì méi	(bird species of China) streaked barwing (Actinodura souliei)
灰頭藪鶥	灰头薮鹛	huī tóu sǒu méi	(bird species of China) red-faced liocichla (Liocichla phoenicea)
灰頭雀鶥	灰头雀鹛	huī tóu què méi	(bird species of China) Yunnan fulvetta (Alcippe fratercula)
玉山噪鶥	玉山噪鹛	Yù Shān zào méi	(bird species of China) white-whiskered laughingthrush (Trochalopteron morrisonianum)
玉山雀鶥	玉山雀鹛	Yù Shān què méi	(bird species of China) Taiwan fulvetta (Fulvetta formosana)
