鶲	鹟	wēng	flycatcher (bird)
侏藍仙鶲	侏蓝仙鹟	zhū lán xiān wēng	(bird species of China) pygmy blue flycatcher (Muscicapella hodgsoni)
大仙鶲	大仙鹟	dà xiān wēng	(bird species of China) large niltava (Niltava grandis)
寬嘴鶲鶯	宽嘴鹟莺	kuān zuǐ wēng yīng	(bird species of China) broad-billed warbler (Tickellia hodgsoni)
小仙鶲	小仙鹟	xiǎo xiān wēng	(bird species of China) small niltava (Niltava macgrigoriae)
小斑姬鶲	小斑姬鹟	xiǎo bān jī wēng	(bird species of China) little pied flycatcher (Ficedula westermanni)
山藍仙鶲	山蓝仙鹟	shān lán xiān wēng	(bird species of China) hill blue flycatcher (Cyornis banyumas)
峨嵋鶲鶯	峨嵋鹟莺	é méi wēng yīng	(bird species of China) Martens's warbler (Seicercus omeiensis)
斑姬鶲	斑姬鹟	bān jī wēng	(bird species of China) European pied flycatcher (Ficedula hypoleuca)
斑鶲	斑鹟	bān wēng	(bird species of China) spotted flycatcher (Muscicapa striata)
方尾鶲	方尾鹟	fāng wěi wēng	(bird species of China) grey-headed canary-flycatcher (Culicicapa ceylonensis)
栗頭鶲鶯	栗头鹟莺	lì tóu wēng yīng	(bird species of China) chestnut-crowned warbler (Seicercus castaniceps)
棕尾褐鶲	棕尾褐鹟	zōng wěi hè wēng	(bird species of China) ferruginous flycatcher (Muscicapa ferruginea)
棕胸藍姬鶲	棕胸蓝姬鹟	zōng xiōng lán jī wēng	(bird species of China) snowy-browed flycatcher (Ficedula hyperythra)
棕腹仙鶲	棕腹仙鹟	zōng fù xiān wēng	(bird species of China) rufous-bellied niltava (Niltava sundara)
棕腹大仙鶲	棕腹大仙鹟	zōng fù dà xiān wēng	(bird species of China) Fujian niltava (Niltava davidi)
棕腹藍仙鶲	棕腹蓝仙鹟	zōng fù lán xiān wēng	(bird species of China) vivid niltava (Niltava vivida)
棕臉鶲鶯	棕脸鹟莺	zōng liǎn wēng yīng	(bird species of China) rufous-faced warbler (Abroscopus albogularis)
橙胸姬鶲	橙胸姬鹟	chéng xiōng jī wēng	(bird species of China) rufous-gorgeted flycatcher (Ficedula strophiata)
比氏鶲鶯	比氏鹟莺	Bǐ shì wēng yīng	(bird species of China) Bianchi's warbler (Seicercus valentini)
海南藍仙鶲	海南蓝仙鹟	Hǎi nán lán xiān wēng	(bird species of China) Hainan blue flycatcher (Cyornis hainanus)
淡尾鶲鶯	淡尾鹟莺	dàn wěi wēng yīng	(bird species of China) Alström's warbler (Seicercus soror)
淡頦仙鶲	淡颏仙鹟	dàn kē xiān wēng	(bird species of China) pale-chinned flycatcher (Cyornis poliogenys)
灰冠鶲鶯	灰冠鹟莺	huī guān wēng yīng	(bird species of China) grey-crowned warbler (Seicercus tephrocephalus)
灰斑鶲	灰斑鹟	huī bān wēng	(bird species of China) grey-streaked flycatcher (Muscicapa griseisticta)
灰臉鶲鶯	灰脸鹟莺	huī liǎn wēng yīng	(bird species of China) grey-cheeked warbler (Seicercus poliogenys)
灰藍姬鶲	灰蓝姬鹟	huī lán jī wēng	(bird species of China) slaty-blue flycatcher (Ficedula tricolor)
烏鶲	乌鹟	wū wēng	(bird species of China) dark-sided flycatcher (Muscicapa sibirica)
玉頭姬鶲	玉头姬鹟	yù tóu jī wēng	(bird species of China) sapphire flycatcher (Ficedula sapphira)
琉璃藍鶲	琉璃蓝鹟	liú lí lán wēng	(bird species of China) Zappey's flycatcher (Cyanoptila cumatilis)
白喉姬鶲	白喉姬鹟	bái hóu jī wēng	(bird species of China) white-gorgeted flycatcher (Anthipes monileger)
白喉扇尾鶲	白喉扇尾鹟	bái hóu shàn wěi wēng	(bird species of China) white-throated fantail (Rhipidura albicollis)
白喉林鶲	白喉林鹟	bái hóu lín wēng	(bird species of China) brown-chested jungle flycatcher (Rhinomyias brunneata)
白尾藍仙鶲	白尾蓝仙鹟	bái wěi lán xiān wēng	(bird species of China) white-tailed flycatcher (Cyornis concretus)
白眉姬鶲	白眉姬鹟	bái méi jī wēng	(bird species of China) yellow-rumped flycatcher (Ficedula zanthopygia)
白眉扇尾鶲	白眉扇尾鹟	bái méi shàn wěi wēng	(bird species of China) white-browed fantail (Rhipidura aureola)
白眉藍姬鶲	白眉蓝姬鹟	bái méi lán jī wēng	(bird species of China) ultramarine flycatcher (Ficedula superciliaris)
白眶鶲鶯	白眶鹟莺	bái kuàng wēng yīng	(bird species of China) white-spectacled warbler (Seicercus affinis)
白腹姬鶲	白腹姬鹟	bái fù jī wēng	(bird species of China) blue-and-white flycatcher (Cyanoptila cyanomelana)
紅喉姬鶲	红喉姬鹟	hóng hóu jī wēng	(bird species of China) taiga flycatcher (Ficedula albicilla)
紅胸姬鶲	红胸姬鹟	hóng xiōng jī wēng	(bird species of China) red-breasted flycatcher (Ficedula parva)
純藍仙鶲	纯蓝仙鹟	chún lán xiān wēng	(bird species of China) pale blue flycatcher (Cyornis unicolor)
綠背姬鶲	绿背姬鹟	lǜ bèi jī wēng	(bird species of China) green-backed flycatcher (Ficedula elisae)
綠背林鶲	绿背林鹟	lǜ bèi lín wēng	(bird species of China) fulvous-chested jungle flycatcher (Rhinomyias olivacea)
藍喉仙鶲	蓝喉仙鹟	lán hóu xiān wēng	(bird species of China) blue-throated flycatcher (Cyornis rubeculoides)
褐背鶲鶪	褐背鹟䴗	hè bèi wēng jú	(bird species of China) bar-winged flycatcher-shrike (Hemipus picatus)
褐胸鶲	褐胸鹟	hè xiōng wēng	(bird species of China) brown-breasted flycatcher (Muscicapa muttui)
金眶鶲鶯	金眶鹟莺	jīn kuàng wēng yīng	(bird species of China) green-crowned warbler (Seicercus burkii)
銅藍鶲	铜蓝鹟	tóng lán wēng	(bird species of China) verditer flycatcher (Eumyias thalassinus)
鏽胸藍姬鶲	锈胸蓝姬鹟	xiù xiōng lán jī wēng	(bird species of China) slaty-backed flycatcher (Ficedula hodgsonii)
韋氏鶲鶯	韦氏鹟莺	Wéi shì wēng yīng	(bird species of China) Whistler's warbler (Seicercus whistleri)
鴝姬鶲	鸲姬鹟	qú jī wēng	(bird species of China) mugimaki flycatcher (Ficedula mugimaki)
中華仙鶲	中华仙鹟	Zhōng huá xiān wēng	(bird species of China) Chinese blue flycatcher (Cyornis glaucicomans)
