鷚	鹨	liù	pipit (genus Anthus)
山鷚	山鹨	shān liù	(bird species of China) upland pipit (Anthus sylvanus)
布萊氏鷚	布莱氏鹨	Bù lái shì liù	(bird species of China) Blyth's pipit (Anthus godlewskii)
平原鷚	平原鹨	píng yuán liù	(bird species of China) tawny pipit (Anthus campestris)
林鷚	林鹨	lín liù	(bird species of China) tree pipit (Anthus trivialis)
栗背岩鷚	栗背岩鹨	lì bèi yán liù	(bird species of China) maroon-backed accentor (Prunella immaculata)
棕眉山岩鷚	棕眉山岩鹨	zōng méi shān yán liù	(bird species of China) Siberian accentor (Prunella montanella)
棕胸岩鷚	棕胸岩鹨	zōng xiōng yán liù	(bird species of China) rufous-breasted accentor (Prunella strophiata)
樹鷚	树鹨	shù liù	(bird species of China) olive-backed pipit (Anthus hodgsoni)
水鷚	水鹨	shuǐ liù	(bird species of China) water pipit (Anthus spinoletta)
田鷚	田鹨	tián liù	(bird species of China) Richard's pipit (Anthus richardi)
稻田鷚	稻田鹨	dào tián liù	(bird species of China) paddyfield pipit (Anthus rufulus)
粉紅胸鷚	粉红胸鹨	fěn hóng xiōng liù	(bird species of China) rosy pipit (Anthus roseatus)
紅喉鷚	红喉鹨	hóng hóu liù	(bird species of China) red-throated pipit (Anthus cervinus)
草地鷚	草地鹨	cǎo dì liù	(bird species of China) meadow pipit (Anthus pratensis)
褐岩鷚	褐岩鹨	hè yán liù	(bird species of China) brown accentor (Prunella fulvescens)
賀蘭山岩鷚	贺兰山岩鹨	Hè lán Shān yán liù	(bird species of China) Mongolian accentor (Prunella koslowi)
領岩鷚	领岩鹨	lǐng yán liù	(bird species of China) alpine accentor (Prunella collaris)
高原岩鷚	高原岩鹨	gāo yuán yán liù	(bird species of China) Altai accentor (Prunella himalayana)
鴝岩鷚	鸲岩鹨	qú yán liù	(bird species of China) robin accentor (Prunella rubeculoides)
北鷚	北鹨	běi liù	(bird species of China) Pechora pipit (Anthus gustavi)
黃腹鷚	黄腹鹨	huáng fù liù	(bird species of China) buff-bellied pipit (Anthus rubescens)
黑喉岩鷚	黑喉岩鹨	hēi hóu yán liù	(bird species of China) black-throated accentor (Prunella atrogularis)
