鷺	鹭	lù	heron
夜鷺	夜鹭	yè lù	(bird species of China) black-crowned night heron (Nycticorax nycticorax)
大白鷺	大白鹭	dà bái lù	(bird species of China) great egret (Ardea alba)
岩鷺	岩鹭	yán lù	(bird species of China) Pacific reef heron (Egretta sacra)
斑鷺	斑鹭	bān lù	(bird species of China) pied heron (Egretta picata)
暗鷺	暗鹭	àn lù	black-crowned night heron (Tw)
朱鷺	朱鹭	zhū lù	ibis/Japanese crested ibis (Nipponia nippon)/same as 朱鹮
棕夜鷺	棕夜鹭	zōng yè lù	(bird species of China) rufous night heron (Nycticorax caledonicus)
池鷺	池鹭	chí lù	(bird species of China) Chinese pond heron (Ardeola bacchus)
爪哇池鷺	爪哇池鹭	Zhǎo wā chí lù	(bird species of China) Javan pond heron (Ardeola speciosa)
牛背鷺	牛背鹭	niú bèi lù	(bird species of China) eastern cattle egret (Bubulcus coromandus)
琵鷺	琵鹭	pí lù	spoonbill (wading bird of the family Threskiornithidae)
白琵鷺	白琵鹭	bái pí lù	(bird species of China) Eurasian spoonbill (Platalea leucorodia)
白腹鷺	白腹鹭	bái fù lù	(bird species of China) white-bellied heron (Ardea insignis)
白臉鷺	白脸鹭	bái liǎn lù	(bird species of China) white-faced heron (Egretta novaehollandiae)
白鷺	白鹭	bái lù	(bird species of China) little egret (Egretta garzetta)
白鷺灣濕地公園	白鹭湾湿地公园	Bái lù wān Shī dì Gōng yuán	Bailuwan Wetland Park, Chengdu
綠鷺	绿鹭	lǜ lù	(bird species of China) striated heron (Butorides striata)
草鷺	草鹭	cǎo lù	(bird species of China) purple heron (Ardea purpurea)
蒼鷺	苍鹭	cāng lù	(bird species of China) grey heron (Ardea cinerea)
鶖鷺	鹙鹭	qiū lù	oriole/black drongo (Dicrurus macrocercus)
中白鷺	中白鹭	zhōng bái lù	(bird species of China) intermediate egret (Egretta intermedia)
黃嘴白鷺	黄嘴白鹭	huáng zuǐ bái lù	(bird species of China) Chinese egret (Egretta eulophotes)
黑臉琵鷺	黑脸琵鹭	hēi liǎn pí lù	(bird species of China) black-faced spoonbill (Platalea minor)
