鷗	鸥	ōu	common gull
中賊鷗	中贼鸥	zhōng zéi ōu	(bird species of China) pomarine skua (Stercorarius pomarinus)
剪嘴鷗	剪嘴鸥	jiǎn zuǐ ōu	(bird species of China) Indian skimmer (Rynchops albicollis)
北極鷗	北极鸥	Běi jí ōu	(bird species of China) glaucous gull (Larus hyperboreus)
叉尾鷗	叉尾鸥	chā wěi ōu	(bird species of China) Sabine's gull (Xema sabini)
大鳳頭燕鷗	大凤头燕鸥	dà fèng tóu yàn ōu	(bird species of China) greater crested tern (Thalasseus bergii)
小鳳頭燕鷗	小凤头燕鸥	xiǎo fèng tóu yàn ōu	(bird species of China) lesser crested tern (Thalasseus bengalensis)
小鷗	小鸥	xiǎo ōu	(bird species of China) little gull (Hydrocoloeus minutus)
弗氏鷗	弗氏鸥	Fú shì ōu	(bird species of China) Franklin's gull (Leucophaeus pipixcan)
彭養鷗	彭养鸥	Péng Yǎng ōu	Peng Yangou, late Qing novelist, author of Black register of lost souls 黑籍冤魂
普通燕鷗	普通燕鸥	pǔ tōng yàn ōu	(bird species of China) common tern (Sterna hirundo)
棕頭鷗	棕头鸥	zōng tóu ōu	(bird species of China) brown-headed gull (Chroicocephalus brunnicephalus)
楔尾鷗	楔尾鸥	xiē wěi ōu	(bird species of China) Ross's gull (Rhodostethia rosea)
海鷗	海鸥	hǎi ōu	(bird species of China) mew gull (Larus canus)
漁鷗	渔鸥	yú ōu	(bird species of China) Pallas's gull (Ichthyaetus ichthyaetus)
灰翅鷗	灰翅鸥	huī chì ōu	(bird species of China) glaucous-winged gull (Larus glaucescens)
灰背鷗	灰背鸥	huī bèi ōu	(bird species of China) slaty-backed gull (Larus schistisagus)
烏灰銀鷗	乌灰银鸥	wū huī yín ōu	(bird species of China) lesser black-backed gull (Larus fuscus)
烏燕鷗	乌燕鸥	wū yàn ōu	(bird species of China) sooty tern (Onychoprion fuscatus)
白嘴端鳳頭燕鷗	白嘴端凤头燕鸥	bái zuǐ duān fèng tóu yàn ōu	(bird species of China) sandwich tern (Thalasseus sandvicensis)
白玄鷗	白玄鸥	bái xuán ōu	(bird species of China) white tern (Gygis alba)
白翅浮鷗	白翅浮鸥	bái chì fú ōu	(bird species of China) white-winged tern (Chlidonias leucopterus)
白腰燕鷗	白腰燕鸥	bái yāo yàn ōu	(bird species of China) Aleutian tern (Onychoprion aleuticus)
白頂玄鷗	白顶玄鸥	bái dǐng xuán ōu	(bird species of China) brown noddy (Anous stolidus)
白額燕鷗	白额燕鸥	bái é yàn ōu	(bird species of China) little tern (Sternula albifrons)
短尾賊鷗	短尾贼鸥	duǎn wěi zéi ōu	(bird species of China) parasitic jaeger (Stercorarius parasiticus)
笑鷗	笑鸥	xiào ōu	(bird species of China) laughing gull (Leucophaeus atricilla)
粉紅燕鷗	粉红燕鸥	fěn hóng yàn ōu	(bird species of China) roseate tern (Sterna dougallii)
紅嘴巨鷗	红嘴巨鸥	hóng zuǐ jù ōu	(bird species of China) Caspian tern (Hydroprogne caspia)
紅嘴鷗	红嘴鸥	hóng zuǐ ōu	(bird species of China) black-headed gull (Chroicocephalus ridibundus)
細嘴鷗	细嘴鸥	xì zuǐ ōu	(bird species of China) slender-billed gull (Chroicocephalus genei)
褐翅燕鷗	褐翅燕鸥	hè chì yàn ōu	(bird species of China) bridled tern (Onychoprion anaethetus)
西伯利亞銀鷗	西伯利亚银鸥	Xī bó lì yà yín ōu	(bird species of China) Vega gull (Larus vegae)
遺鷗	遗鸥	yí ōu	(bird species of China) relict gull (Ichthyaetus relictus)
銀鷗	银鸥	yín ōu	(bird species of China) European herring gull (Larus argentatus)
長尾賊鷗	长尾贼鸥	cháng wěi zéi ōu	(bird species of China) long-tailed jaeger (Stercorarius longicaudus)
鬚浮鷗	须浮鸥	xū fú ōu	(bird species of China) whiskered tern (Chlidonias hybrida)
三趾鷗	三趾鸥	sān zhǐ ōu	(bird species of China) black-legged kittiwake (Rissa tridactyla)
鷗嘴噪鷗	鸥嘴噪鸥	ōu zuǐ zào ōu	(bird species of China) gull-billed tern (Gelochelidon nilotica)
麥氏賊鷗	麦氏贼鸥	Mài shì zéi ōu	(bird species of China) South Polar skua (Stercorarius maccormicki)
黃嘴河燕鷗	黄嘴河燕鸥	huáng zuǐ hé yàn ōu	(bird species of China) river tern (Sterna aurantia)
黃腳銀鷗	黄脚银鸥	huáng jiǎo yín ōu	(bird species of China) Caspian gull (Larus cachinnans)
黑嘴端鳳頭燕鷗	黑嘴端凤头燕鸥	hēi zuǐ duān fèng tóu yàn ōu	(bird species of China) Chinese crested tern (Thalasseus bernsteini)
黑嘴鷗	黑嘴鸥	hēi zuǐ ōu	(bird species of China) Saunders's gull (Chroicocephalus saundersi)
黑尾鷗	黑尾鸥	hēi wěi ōu	(bird species of China) black-tailed gull (Larus crassirostris)
黑枕燕鷗	黑枕燕鸥	hēi zhěn yàn ōu	(bird species of China) black-naped tern (Sterna sumatrana)
黑浮鷗	黑浮鸥	hēi fú ōu	(bird species of China) black tern (Chlidonias niger)
黑腹燕鷗	黑腹燕鸥	hēi fù yàn ōu	(bird species of China) black-bellied tern (Sterna acuticauda)
