鴴	鸻	héng	plover
大石鴴	大石鸻	dà shí héng	(bird species of China) great stone-curlew (Esacus recurvirostris)
小嘴鴴	小嘴鸻	xiǎo zuǐ héng	(bird species of China) Eurasian dotterel (Charadrius morinellus)
普通燕鴴	普通燕鸻	pǔ tōng yàn héng	(bird species of China) oriental pratincole (Glareola maldivarum)
東方鴴	东方鸻	dōng fāng héng	(bird species of China) oriental plover (Charadrius veredus)
歐石鴴	欧石鸻	Ōu shí héng	(bird species of China) Eurasian stone-curlew (Burhinus oedicnemus)
歐金斑鴴	欧金斑鸻	Ōu jīn bān héng	(bird species of China) European golden plover (Pluvialis apricaria)
灰斑鴴	灰斑鸻	huī bān héng	(bird species of China) grey plover (Pluvialis squatarola)
灰燕鴴	灰燕鸻	huī yàn héng	(bird species of China) small pratincole (Glareola lactea)
環頸鴴	环颈鸻	huán jǐng héng	(bird species of China) Kentish plover (Charadrius alexandrinus)
紅胸鴴	红胸鸻	hóng xiōng héng	(bird species of China) Caspian plover (Charadrius asiaticus)
美洲金鴴	美洲金鸻	Měi zhōu jīn héng	(bird species of China) American golden plover (Pluvialis dominica)
蒙古沙鴴	蒙古沙鸻	měng gǔ shā héng	(bird species of China) lesser sand plover (Charadrius mongolus)
金斑鴴	金斑鸻	jīn bān héng	(bird species of China) Pacific golden plover (Pluvialis fulva)
金眶鴴	金眶鸻	jīn kuàng héng	(bird species of China) little ringed plover (Charadrius dubius)
鐵嘴沙鴴	铁嘴沙鸻	tiě zuǐ shā héng	(bird species of China) greater sand plover (Charadrius leschenaultii)
長嘴劍鴴	长嘴剑鸻	cháng zuǐ jiàn héng	(bird species of China) long-billed plover (Charadrius placidus)
領燕鴴	领燕鸻	lǐng yàn héng	(bird species of China) collared pratincole (Glareola pratincola)
馬來鴴	马来鸻	Mǎ lái héng	(bird species of China) Malaysian plover (Charadrius peronii)
劍鴴	剑鸻	jiàn héng	(bird species of China) common ringed plover (Charadrius hiaticula)
鴴科	鸻科	héng kē	Charadriidae (plover family)
黑翅燕鴴	黑翅燕鸻	hēi chì yàn héng	(bird species of China) black-winged pratincole (Glareola nordmanni)
