鴿	鸽	gē	pigeon/dove
信鴿	信鸽	xìn gē	homing pigeon/carrier pigeon
傳書鴿	传书鸽	chuán shū gē	carrier pigeon (used for mail)
原鴿	原鸽	yuán gē	(bird species of China) rock dove (Columba livia)
和平鴿	和平鸽	hé píng gē	dove of peace
天鴿座	天鸽座	Tiān gē zuò	Columba (constellation)
岩鴿	岩鸽	yán gē	(bird species of China) hill pigeon (Columba rupestris)
放鴿子	放鸽子	fàng gē zi	to stand someone up
斑尾林鴿	斑尾林鸽	bān wěi lín gē	(bird species of China) common wood pigeon (Columba palumbus)
歐鴿	欧鸽	Ōu gē	(bird species of China) stock dove (Columba oenas)
灰林鴿	灰林鸽	huī lín gē	(bird species of China) ashy wood pigeon (Columba pulchricollis)
紫林鴿	紫林鸽	zǐ lín gē	(bird species of China) pale-capped pigeon (Columba punicea)
雛鴿	雏鸽	chú gē	squab/nestling pigeon
雪鴿	雪鸽	xuě gē	(bird species of China) snow pigeon (Columba leuconota)
飛鴿	飞鸽	Fēi gē	Flying Pigeon (famous bicycle brand, made in Tianjin since 1936)
鳩鴿	鸠鸽	jiū gē	dove
中亞鴿	中亚鸽	Zhōng yà gē	(bird species of China) yellow-eyed pigeon (Columba eversmanni)
鴿子	鸽子	gē zi	pigeon/dove/various birds of the family Columbidae
鴿房	鸽房	gē fáng	dovecote/enclosure for carrier pigeons
鴿派	鸽派	gē pài	dove faction (opposite: 鹰派, hawks)/peace party/the faction seeking peace
鵓鴿	鹁鸽	bó gē	pigeon
黑林鴿	黑林鸽	hēi lín gē	(bird species of China) Japanese wood pigeon (Columba janthina)
點斑林鴿	点斑林鸽	diǎn bān lín gē	(bird species of China) speckled wood pigeon (Columba hodgsonii)
