鵲	鹊	què	magpie
喜鵲	喜鹊	xǐ què	(bird species of China) Eurasian magpie (Pica pica)
塔尾樹鵲	塔尾树鹊	tǎ wěi shù què	(bird species of China) ratchet-tailed treepie (Temnurus temnurus)
扁鵲	扁鹊	Biǎn Què	秦越人[Qín Yuè rén] (407-310 BC), Warring States physician known for his medical skills, nicknamed Bian Que after the earliest known Chinese physician allegedly from the 黃帝|黄帝[Huáng dì] era
棕腹樹鵲	棕腹树鹊	zōng fù shù què	(bird species of China) rufous treepie (Dendrocitta vagabunda)
灰喜鵲	灰喜鹊	huī xǐ què	(bird species of China) azure-winged magpie (Cyanopica cyanus)
灰樹鵲	灰树鹊	huī shù què	(bird species of China) grey treepie (Dendrocitta formosae)
燕雀烏鵲	燕雀乌鹊	yàn què wū què	lit. sparrow and swallow, crow and magpie; fig. any Tom, Dick or Harry/a bunch of nobodies
白翅藍鵲	白翅蓝鹊	bái chì lán què	(bird species of China) white-winged magpie (Urocissa whiteheadi)
白腰鵲鴝	白腰鹊鸲	bái yāo què qú	(bird species of China) white-rumped shama (Copsychus malabaricus)
盤尾樹鵲	盘尾树鹊	pán wěi shù què	(bird species of China) racket-tailed treepie (Crypsirina temia)
紅嘴藍鵲	红嘴蓝鹊	hóng zuǐ lán què	(bird species of China) red-billed blue magpie (Urocissa erythroryncha)
臺灣藍鵲	台湾蓝鹊	Tái wān lán què	(bird species of China) Taiwan blue magpie (Urocissa caerulea)
藍綠鵲	蓝绿鹊	lán lǜ què	(bird species of China) common green magpie (Cissa chinensis)
印支綠鵲	印支绿鹊	Yìn Zhī lǜ què	(bird species of China) Indochinese green magpie (Cissa hypoleuca)
鵲巢鳩占	鹊巢鸠占	què cháo jiū zhàn	the magpie made a nest, the turtledove dwells in it (idiom)/to reap where one has not sown
鵲橋	鹊桥	què qiáo	magpie bridge across the Milky Way between Altair and Vega where Cowherd and Weaving maid 牛郎織女|牛郎织女 are allowed an annual meeting
鵲色鸝	鹊色鹂	què sè lí	(bird species of China) silver oriole (Oriolus mellianus)
鵲鴝	鹊鸲	què qú	(bird species of China) oriental magpie-robin (Copsychus saularis)
鵲鴨	鹊鸭	què yā	(bird species of China) common goldeneye (Bucephala clangula)
鵲鷂	鹊鹞	què yào	(bird species of China) pied harrier (Circus melanoleucos)
黃嘴藍鵲	黄嘴蓝鹊	huáng zuǐ lán què	(bird species of China) yellow-billed blue magpie (Urocissa flavirostris)
黑額樹鵲	黑额树鹊	hēi é shù què	(bird species of China) collared treepie (Dendrocitta frontalis)
