鶴	鹤	hè	crane
丹頂鶴	丹顶鹤	dān dǐng hè	(bird species of China) red-crowned crane (Grus japonensis)
乘鶴	乘鹤	chéng hè	to fly on a crane/to die
仙鶴	仙鹤	xiān hè	red-crowned crane (Grus japonensis)
天鶴座	天鹤座	Tiān hè zuò	Grus (constellation)
杜荀鶴	杜荀鹤	Dù Xún hè	Du Xunhe (846-904), Tang poet
杳如黃鶴	杳如黄鹤	yǎo rú huáng hè	to be gone forever (idiom)/to disappear without a trace
松鶴遐齡	松鹤遐龄	sōng hè xiá líng	longevity
檻花籠鶴	槛花笼鹤	jiàn huā lóng hè	a flower in a cage, a crane in a basket (idiom); prisoner
沙丘鶴	沙丘鹤	shā qiū hè	(bird species of China) sandhill crane (Grus canadensis)
火鶴	火鹤	huǒ hè	flamingo lily (Anthurium andraeanum)
火鶴花	火鹤花	huǒ hè huā	flamingo lily (Anthurium andraeanum)
灰鶴	灰鹤	huī hè	(bird species of China) common crane (Grus grus)
焚琴煮鶴	焚琴煮鹤	fén qín zhǔ hè	lit. to burn zithers and cook cranes/fig. to waste valuable resources/to destroy wantonly beautiful things
白枕鶴	白枕鹤	bái zhěn hè	(bird species of China) white-naped crane (Grus vipio)
白頭鶴	白头鹤	bái tóu hè	(bird species of China) hooded crane (Grus monacha)
白鶴	白鹤	bái hè	(bird species of China) Siberian crane (Grus leucogeranus)
白鶴拳	白鹤拳	bái hè quán	Baihequan (Fujian White Crane) martial art form
白鶴梁	白鹤梁	Bái hè liáng	White Crane Ridge at Fuling, Sichuan on the Changjiang River, that used to show above the water at dry periods, with famous carvings
白鶴灘	白鹤滩	Bái hè tān	Baihetan, the name of a hydroelectric dam on the Jinsha River 金沙江[Jīn shā jiāng] at a point where the river forms a border between Yunnan and Sichuan
紙鶴	纸鹤	zhǐ hè	paper crane
蓑羽鶴	蓑羽鹤	suō yǔ hè	(bird species of China) demoiselle crane (Grus virgo)
赤頸鶴	赤颈鹤	chì jǐng hè	(bird species of China) sarus crane (Grus antigone)
跨鶴	跨鹤	kuà hè	to die/to fly on a crane
跨鶴揚州	跨鹤扬州	kuà hè Yáng zhōu	lit. to ride a crane to Yangzhou/to become a Daoist immortal/to die
跨鶴西遊	跨鹤西游	kuà hè xī yóu	to die
風聲鶴唳	风声鹤唳	fēng shēng hè lì	lit. wind sighing and crane calling (idiom)/fig. to panic at the slightest move/to be jittery
駕鶴成仙	驾鹤成仙	jià hè chéng xiān	to fly on a crane and become immortal
駕鶴西去	驾鹤西去	jià hè xī qù	lit. to fly on a crane to the Western Paradise/fig. to pass away (idiom)
駕鶴西歸	驾鹤西归	jià hè xī guī	see 駕鶴西去|驾鹤西去[jià hè xī qù]
駕鶴西遊	驾鹤西游	jià hè xī yóu	see 駕鶴西去|驾鹤西去[jià hè xī qù]
騎鶴	骑鹤	qí hè	to ride a crane (as a Daoist adept)/to die
騎鶴上揚州	骑鹤上扬州	qí hè shàng Yáng zhōu	lit. to ride a crane to Yangzhou (idiom); to get an official position
一琴一鶴	一琴一鹤	yī qín yī hè	carrying very little luggage (idiom)/honest and incorruptible (government officials)
鶴佬人	鹤佬人	Hè lǎo rén	Hoklo people, southern Chinese people of Taiwan
鶴俸	鹤俸	hè fèng	an official's emolument
鶴嘴鋤	鹤嘴锄	hè zuǐ chú	pickax
鶴城	鹤城	Hè chéng	Hecheng district of Huaihua city 懷化市|怀化市[Huái huà shì], Hunan
鶴城區	鹤城区	Hè chéng qū	Hecheng district of Huaihua city 懷化市|怀化市[Huái huà shì], Hunan
鶴壁	鹤壁	Hè bì	Hebi prefecture-level city in Henan
鶴壁市	鹤壁市	Hè bì shì	Hebi prefecture-level city in Henan
鶴山	鹤山	Hè shān	Heshan district of Hebi city 鶴壁市|鹤壁市[Hè bì shì], Henan/Heshan county level city in Jiangmen 江門|江门, Guangdong
鶴山區	鹤山区	Hè shān qū	Heshan district of Hebi city 鶴壁市|鹤壁市[Hè bì shì], Henan
鶴山市	鹤山市	Hè shān shì	Heshan county level city in Jiangmen 江門|江门, Guangdong
鶴峰	鹤峰	Hè fēng	Hefeng county in Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[Ēn shī Tǔ jiā zú Miáo zú zì zhì zhōu], Hubei
鶴峰縣	鹤峰县	Hè fēng xiàn	Hefeng county in Enshi Tujia and Miao autonomous prefecture 恩施土家族苗族自治州[Ēn shī Tǔ jiā zú Miáo zú zì zhì zhōu], Hubei
鶴崗	鹤岗	Hè gǎng	Hegang prefecture-level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
鶴崗市	鹤岗市	Hè gǎng shì	Hegang prefecture-level city in Heilongjiang province 黑龍江|黑龙江[Hēi lóng jiāng] in northeast China
鶴慶	鹤庆	Hè qìng	Heqing county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
鶴慶縣	鹤庆县	Hè qìng xiàn	Heqing county in Dali Bai autonomous prefecture 大理白族自治州[Dà lǐ Bái zú zì zhì zhōu], Yunnan
鶴立雞群	鹤立鸡群	hè lì jī qún	a crane in a flock of chicken (idiom); way above the common/manifestly superior
鶴鷸	鹤鹬	hè yù	(bird species of China) spotted redshank (Tringa erythropus)
黃鶴樓	黄鹤楼	Huáng hè Lóu	Yellow Crane Tower in Wuhan City, built in 223, burnt down in 1884, rebuilt in 1985/favored place of poet sages, who in legend arrived riding golden cranes/Tang poem by Cui Hao 崔顥|崔颢[Cuī Hào], with theme 'the past will never return'/one of three famous pagodas in China along with Yueyang Tower 岳陽樓|岳阳楼[Yuè yáng Lóu] in Yueyang, north Hunan, and Tengwang Tower 滕王閣|滕王阁[Téng wáng Gé] in Nanchang, Jiangxi
黑頸鶴	黑颈鹤	hēi jǐng hè	(bird species of China) black-necked crane (Grus nigricollis)
