鷦	鹪	jiāo	eastern wren
尼泊爾鷦鶥	尼泊尔鹪鹛	Ní bó ěr jiāo méi	(bird species of China) Nepal wren-babbler (Pnoepyga immaculata)
山鷦鶯	山鹪莺	shān jiāo yīng	(bird species of China) striated prinia (Prinia criniger)
暗冕鷦鶯	暗冕鹪莺	àn miǎn jiāo yīng	(bird species of China) rufescent prinia (Prinia rufescens)
會胸鷦鶯	会胸鹪莺	huì xiōng jiāo yīng	(bird species of China) grey-breasted prinia (Prinia hodgsonii)
灰岩鷦鶥	灰岩鹪鹛	huī yán jiāo méi	(bird species of China) limestone wren-babbler (Napothera crispifrons)
短尾鷦鶥	短尾鹪鹛	duǎn wěi jiāo méi	(bird species of China) streaked wren-babbler (Napothera brevicaudata)
紋胸鷦鶥	纹胸鹪鹛	wén xiōng jiāo méi	(bird species of China) eyebrowed wren-babbler (Napothera epilepidota)
臺灣鷦鶥	台湾鹪鹛	Tái wān jiāo méi	(bird species of China) Taiwan wren-babbler (Pnoepyga formosana)
褐山鷦鶯	褐山鹪莺	hè shān jiāo yīng	(bird species of China) brown prinia (Prinia polychroa)
褐頭鷦鶯	褐头鹪莺	hè tóu jiāo yīng	(bird species of China) plain prinia (Prinia inornata)
鱗胸鷦鶥	鳞胸鹪鹛	lín xiōng jiāo méi	(bird species of China) scaly-breasted wren-babbler (Pnoepyga albiventer)
小鱗胸鷦鶥	小鳞胸鹪鹛	xiǎo lín xiōng jiāo méi	(bird species of China) pygmy wren-babbler (Pnoepyga pusilla)
鷦鷯	鹪鹩	jiāo liáo	(bird species of China) Eurasian wren (Troglodytes troglodytes)
黃腹鷦鶯	黄腹鹪莺	huáng fù jiāo yīng	(bird species of China) yellow-bellied prinia (Prinia flaviventris)
黑喉山鷦鶯	黑喉山鹪莺	hēi hóu shān jiāo yīng	(bird species of China) hill prinia (Prinia superciliaris)
黑胸山鷦鶯	黑胸山鹪莺	hēi xiōng shān jiāo yīng	(bird species of China) black-throated prinia (Prinia atrogularis)
