鷸	鹬	yù	common snipe/sandpiper
三趾濱鷸	三趾滨鹬	sān zhǐ bīn yù	(bird species of China) sanderling (Calidris alba)
丘鷸	丘鹬	qiū yù	(bird species of China) Eurasian woodcock (Scolopax rusticola)
中杓鷸	中杓鹬	zhōng sháo yù	(bird species of China) whimbrel (Numenius phaeopus)
勺嘴鷸	勺嘴鹬	sháo zuǐ yù	(bird species of China) spoon-billed sandpiper (Eurynorhynchus pygmeus)
半蹼鷸	半蹼鹬	bàn pǔ yù	(bird species of China) Asian dowitcher (Limnodromus semipalmatus)
反嘴鷸	反嘴鹬	fǎn zuǐ yù	(bird species of China) pied avocet (Recurvirostra avosetta)
大杓鷸	大杓鹬	dà sháo yù	(bird species of China) Far Eastern curlew (Numenius madagascariensis)
大濱鷸	大滨鹬	dà bīn yù	(bird species of China) great knot (Calidris tenuirostris)
姬濱鷸	姬滨鹬	jī bīn yù	(bird species of China) least sandpiper (Calidris minutilla)
姬鷸	姬鹬	jī yù	(bird species of China) jack snipe (Lymnocryptes minimus)
小杓鷸	小杓鹬	xiǎo sháo yù	(bird species of China) little curlew (Numenius minutus)
小濱鷸	小滨鹬	xiǎo bīn yù	(bird species of China) little stint (Calidris minuta)
小青腳鷸	小青脚鹬	xiǎo qīng jiǎo yù	(bird species of China) Nordmann's greenshank (Tringa guttifer)
小黃腳鷸	小黄脚鹬	xiǎo huáng jiǎo yù	(bird species of China) lesser yellowlegs (Tringa flavipes)
尖尾濱鷸	尖尾滨鹬	jiān wěi bīn yù	(bird species of China) sharp-tailed sandpiper (Calidris acuminata)
岩濱鷸	岩滨鹬	yán bīn yù	(bird species of China) rock sandpiper (Calidris ptilocnemis)
彎嘴濱鷸	弯嘴滨鹬	wān zuǐ bīn yù	(bird species of China) curlew sandpiper (Calidris ferruginea)
彩鷸	彩鹬	cǎi yù	(bird species of China) greater painted-snipe (Rostratula benghalensis)
斑尾塍鷸	斑尾塍鹬	bān wěi chéng yù	(bird species of China) bar-tailed godwit (Limosa lapponica)
斑胸濱鷸	斑胸滨鹬	bān xiōng bīn yù	(bird species of China) pectoral sandpiper (Calidris melanotos)
林鷸	林鹬	lín yù	(bird species of China) wood sandpiper (Tringa glareola)
流蘇鷸	流苏鹬	liú sū yù	(bird species of China) ruff (Philomachus pugnax)
漂鷸	漂鹬	piāo yù	(bird species of China) wandering tattler (Tringa incana)
澤鷸	泽鹬	zé yù	(bird species of China) marsh sandpiper (Tringa stagnatilis)
灰尾漂鷸	灰尾漂鹬	huī wěi piāo yù	(bird species of China) grey-tailed tattler (Tringa brevipes)
灰瓣蹼鷸	灰瓣蹼鹬	huī bàn pǔ yù	(bird species of China) red phalarope (Phalaropus fulicarius)
白腰杓鷸	白腰杓鹬	bái yāo sháo yù	(bird species of China) Eurasian curlew (Numenius arquata)
白腰濱鷸	白腰滨鹬	bái yāo bīn yù	(bird species of China) white-rumped sandpiper (Calidris fuscicollis)
白腰草鷸	白腰草鹬	bái yāo cǎo yù	(bird species of China) green sandpiper (Tringa ochropus)
磯鷸	矶鹬	jī yù	(bird species of China) common sandpiper (Actitis hypoleucos)
紅腳鷸	红脚鹬	hóng jiǎo yù	(bird species of China) common redshank (Tringa totanus)
紅腹濱鷸	红腹滨鹬	hóng fù bīn yù	(bird species of China) red knot (Calidris canutus)
紅頸濱鷸	红颈滨鹬	hóng jǐng bīn yù	(bird species of China) red-necked stint (Calidris ruficollis)
紅頸瓣蹼鷸	红颈瓣蹼鹬	hóng jǐng bàn pǔ yù	(bird species of China) red-necked phalarope (Phalaropus lobatus)
翹嘴鷸	翘嘴鹬	qiáo zuǐ yù	(bird species of China) Terek sandpiper (Xenus cinereus)
翻石鷸	翻石鹬	fān shí yù	(bird species of China) ruddy turnstone (Arenaria interpres)
蠣鷸	蛎鹬	lì yù	(bird species of China) Eurasian oystercatcher (Haematopus ostralegus)
西方濱鷸	西方滨鹬	xī fāng bīn yù	(bird species of China) western sandpiper (Calidris mauri)
長嘴鷸	长嘴鹬	cháng zuǐ yù	(bird species of China) long-billed dowitcher (Limnodromus scolopaceus)
長趾濱鷸	长趾滨鹬	cháng zhǐ bīn yù	(bird species of China) long-toed stint (Calidris subminuta)
闊嘴鷸	阔嘴鹬	kuò zuǐ yù	(bird species of China) broad-billed sandpiper (Limicola falcinellus)
青腳濱鷸	青脚滨鹬	qīng jiǎo bīn yù	(bird species of China) Temminck's stint (Calidris temminckii)
青腳鷸	青脚鹬	qīng jiǎo yù	(bird species of China) common greenshank (Tringa nebularia)
飾胸鷸	饰胸鹬	shì xiōng yù	(bird species of China) buff-breasted sandpiper (Tryngites subruficollis)
高蹺鷸	高跷鹬	gāo qiào yù	(bird species of China) stilt sandpiper (Calidris himantopus)
鶴鷸	鹤鹬	hè yù	(bird species of China) spotted redshank (Tringa erythropus)
䴉嘴鷸	鹮嘴鹬	huán zuǐ yù	(bird species of China) ibisbill (Ibidorhyncha struthersii)
鷸蚌相爭	鹬蚌相争	yù bàng xiāng zhēng	lit. sandpiper and clam war together (and the fisherman catches both) (idiom); fig. neighbors who can't agree lose out to a third party
鷸蚌相爭，漁翁得利	鹬蚌相争，渔翁得利	yù bàng xiāng zhēng , yú wēng dé lì	lit. sandpiper and clam war together and the fisherman catches both (idiom); fig. neighbors who can't agree lose out to a third party
鷸鴕	鹬鸵	yù tuó	kiwi (bird)
黑尾塍鷸	黑尾塍鹬	hēi wěi chéng yù	(bird species of China) black-tailed godwit (Limosa limosa)
黑翅長腳鷸	黑翅长脚鹬	hēi chì cháng jiǎo yù	(bird species of China) black-winged stilt (Himantopus himantopus)
黑腰濱鷸	黑腰滨鹬	hēi yāo bīn yù	(bird species of China) Baird's sandpiper (Calidris bairdii)
黑腹濱鷸	黑腹滨鹬	hēi fù bīn yù	(bird species of China) dunlin (Calidris alpina)
