鷹	鹰	yīng	eagle/falcon/hawk
中亞夜鷹	中亚夜鹰	Zhōng yà yè yīng	(bird species of China) Vaurie's nightjar (Caprimulgus centralasicus)
兀鷹	兀鹰	wù yīng	bald eagle
北鷹鵑	北鹰鹃	běi yīng juān	(bird species of China) rufous hawk-cuckoo (Hierococcyx hyperythrus)
埃及夜鷹	埃及夜鹰	Āi jí yè yīng	(bird species of China) Egyptian nightjar (Caprimulgus aegyptius)
夜鷹	夜鹰	yè yīng	nightjar (nocturnal bird in the family Caprimulgidae)
天鷹座	天鹰座	Tiān yīng zuò	Aquila (constellation)
小鷹號	小鹰号	Xiǎo yīng Hào	Kitty Hawk (US aircraft carrier)
日本松雀鷹	日本松雀鹰	Rì běn sōng què yīng	(bird species of China) Japanese sparrowhawk (Accipiter gularis)
普通夜鷹	普通夜鹰	pǔ tōng yè yīng	(bird species of China) grey nightjar (Caprimulgus jotaka)
普通鷹鵑	普通鹰鹃	pǔ tōng yīng juān	(bird species of China) common hawk-cuckoo (Hierococcyx varius)
松雀鷹	松雀鹰	sōng què yīng	(bird species of China) besra (Accipiter virgatus)
林夜鷹	林夜鹰	lín yè yīng	(bird species of China) savanna nightjar (Caprimulgus affinis)
棕翅鵟鷹	棕翅𫛭鹰	zōng chì kuáng yīng	(bird species of China) rufous-winged buzzard (Butastur liventer)
歐夜鷹	欧夜鹰	Ōu yè yīng	(bird species of China) European nightjar (Caprimulgus europaeus)
毛腿耳夜鷹	毛腿耳夜鹰	máo tuǐ ěr yè yīng	(bird species of China) great eared nightjar (Eurostopodus macrotis)
灰臉鵟鷹	灰脸𫛭鹰	huī liǎn kuáng yīng	(bird species of China) grey-faced buzzard (Butastur indicus)
熊鷹	熊鹰	xióng yīng	see 鷹鵰|鹰雕[yīng diāo]
獵鷹	猎鹰	liè yīng	falcon
白眼鵟鷹	白眼鵟鹰	bái yǎn kuáng yīng	(bird species of China) white-eyed buzzard (Butastur teesa)
白頭鷹	白头鹰	bái tóu yīng	bald eagle
禿鷹	秃鹰	tū yīng	condor/bald eagle
老鷹	老鹰	lǎo yīng	(coll.) eagle/hawk/any similar bird of prey
老鷹星雲	老鹰星云	Lǎo yīng xīng yún	Eagle or Star Queen Nebula M16
蒼鷹	苍鹰	cāng yīng	(bird species of China) northern goshawk (Accipiter gentilis)
褐耳鷹	褐耳鹰	hè ěr yīng	(bird species of China) shikra (Accipiter badius)
貓頭鷹	猫头鹰	māo tóu yīng	owl
赤腹鷹	赤腹鹰	chì fù yīng	(bird species of China) Chinese sparrowhawk (Accipiter soloensis)
赫氏角鷹	赫氏角鹰	Hè shì jué yīng	see 鷹鵰|鹰雕[yīng diāo]
長尾夜鷹	长尾夜鹰	cháng wěi yè yīng	(bird species of China) large-tailed nightjar (Caprimulgus macrurus)
雀鷹	雀鹰	què yīng	(bird species of China) Eurasian sparrowhawk (Accipiter nisus)
雄鷹	雄鹰	xióng yīng	male eagle/tercel (male falcon used in falconry)
霍氏鷹鵑	霍氏鹰鹃	Huò shì yīng juān	(bird species of China) Hodgson's hawk-cuckoo (Hierococcyx nisicolor)
飛鷹	飞鹰	fēi yīng	eagle
飛鷹走馬	飞鹰走马	fēi yīng zǒu mǎ	to ride out hawking (idiom); to hunt
魚鷹	鱼鹰	yú yīng	name used for many fishing birds/cormorant/osprey
鳳頭蜂鷹	凤头蜂鹰	fèng tóu fēng yīng	(bird species of China) crested honey buzzard (Pernis ptilorhynchus)
