鹽	盐	yán	salt/CL:粒[lì]
亞硝酸鹽	亚硝酸盐	yà xiāo suān yán	nitrite
再製鹽	再制盐	zài zhì yán	refined salt
凌雜米鹽	凌杂米盐	líng zá mǐ yán	disordered and fragmentary
吊鹽水	吊盐水	diào yán shuǐ	(dialect) to put sb on an intravenous drip
埔鹽	埔盐	Bù yán	Puyan township in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
埔鹽鄉	埔盐乡	Bù yán xiāng	Puyan township in Changhua county 彰化縣|彰化县[Zhāng huà xiàn], Taiwan
察爾汗鹽湖	察尔汗盐湖	Chá ěr hán Yán hú	Qarhan Salt Lake in west Qinghai
岩鹽	岩盐	yán yán	rock salt
柴米油鹽	柴米油盐	chái mǐ yóu yán	lit. firewood, rice, oil and salt/fig. life's daily necessities
柴米油鹽醬醋茶	柴米油盐酱醋茶	chái mǐ yóu yán jiàng cù chá	lit. firewood, rice, oil, salt, soy, vinegar, and tea/fig. life's daily necessities
氰酸鹽	氰酸盐	qíng suān yán	cyanate
池鹽	池盐	chí yán	salt from a salt lake
油鹽醬醋	油盐酱醋	yóu yán jiàng cù	(lit.) oil, salt, soy sauce and vinegar/(fig.) the trivia of everyday life
浴鹽	浴盐	yù yán	bath salts
海鹽	海盐	Hǎi yán	Haiyan county in Jiaxing 嘉興|嘉兴[Jiā xīng], Zhejiang
海鹽	海盐	hǎi yán	sea salt
海鹽縣	海盐县	Hǎi yán xiàn	Haiyan county in Jiaxing 嘉興|嘉兴[Jiā xīng], Zhejiang
溫鹽環流	温盐环流	wēn yán huán liú	thermohaline circulation (oceanography)
瀉鹽	泻盐	xiè yán	epsom salts
無機鹽	无机盐	wú jī yán	inorganic salt
生理鹽水	生理盐水	shēng lǐ yán shuǐ	saline (medicine)
石鹽	石盐	shí yán	rock salt
硅酸鹽	硅酸盐	guī suān yán	silicate
硅酸鹽水泥	硅酸盐水泥	guī suān yán shuǐ ní	Portland cement
硝酸鹽	硝酸盐	xiāo suān yán	nitrate
硫氰酸鹽	硫氰酸盐	liú qíng suān yán	thiocyanate
硫酸鹽	硫酸盐	liú suān yán	sulfate
碳酸鹽	碳酸盐	tàn suān yán	carbonate salt (chemistry)
磷酸鹽	磷酸盐	lín suān yán	phosphate
磷酸鹽岩	磷酸盐岩	lín suān yán yán	phosphorite/phosphate rock
礦鹽	矿盐	kuàng yán	halite
粗鹽	粗盐	cū yán	coarse salt/rock salt
細鹽	细盐	xì yán	refined salt/table salt
酸式鹽	酸式盐	suān shì yán	acid salt
酸鹽	酸盐	suān yán	sulfonate
重碳酸鹽	重碳酸盐	chóng tàn suān yán	bicarbonate
鉀鹽	钾盐	jiǎ yán	potassium chloride KCl
鎂鹽	镁盐	měi yán	magnesium salt
雜鹽	杂盐	zá yán	carnallite (hydrated potassium magnesium chloride mineral)
食鹽	食盐	shí yán	edible salt
餐桌鹽	餐桌盐	cān zhuō yán	table salt
鹹鹽	咸盐	xián yán	salt (colloquial)/table salt
鹼式鹽	碱式盐	jiǎn shì yán	alkali salt (soda, lye, calcium carbonate etc)
乙酸鹽	乙酸盐	yǐ suān yán	acetate CH3COO-
鹽井	盐井	Yán jǐng	Yanjing, common place name/former county 1983-1999, now part of Markam county 芒康縣|芒康县[Máng kāng xiàn] in Chamdo prefecture, Tibet
鹽井縣	盐井县	Yán jǐng xiàn	Yanjing former county (1917-1917), now part of Markam county 芒康縣|芒康县[Máng kāng xiàn] in Chamdo prefecture, Tibet
鹽井鄉	盐井乡	Yán jǐng xiāng	Yanjing village, common place name
鹽亭	盐亭	Yán tíng	Yanting county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
鹽亭縣	盐亭县	Yán tíng xiàn	Yanting county in Mianyang 綿陽|绵阳[Mián yáng], north Sichuan
鹽坨子	盐坨子	yán tuó zi	heap of salt (dialect)
鹽城	盐城	Yán chéng	Yancheng prefecture level city in Jiangsu
鹽城市	盐城市	Yán chéng shì	Yancheng prefecture level city in Jiangsu
鹽埔	盐埔	Yán bù	Yanpu township in Pingtung County 屏東縣|屏东县[Píng dōng Xiàn], Taiwan
