齒	齿	chǐ	tooth/CL:顆|颗[kē]
上顎正門齒	上颚正门齿	shàng è zhèng mén chǐ	maxillary central incisor
上齒	上齿	shàng chǐ	upper teeth
上齒齦	上齿龈	shàng chǐ yín	upper alveolar ridge
下齒	下齿	xià chǐ	bottom teeth
不足掛齒	不足挂齿	bù zú guà chǐ	not worth mentioning (idiom)
不足齒數	不足齿数	bù zú chǐ shù	not worth mentioning/not worth considering
不齒	不齿	bù chǐ	to despise/to hold in contempt
九齒釘耙	九齿钉耙	jiǔ chǐ dīng pá	The Nine-Toothed Rake (weapon of Zhu Bajie 豬八戒|猪八戒[Zhū Bā jiè])
乳齒	乳齿	rǔ chǐ	deciduous tooth/milk tooth/baby tooth
伶牙俐齒	伶牙俐齿	líng yá lì chǐ	clever and eloquent (idiom); fluent/having the gift of the gab
低齲齒性	低龋齿性	dī qǔ chǐ xìng	non-caries-inducing
切齒	切齿	qiè chǐ	to gnash one's teeth (in anger)
切齒腐心	切齿腐心	qiè chǐ fǔ xīn	to detest sth or sb to the utmost extreme (idiom)
刨齒	刨齿	bào chǐ	gear-shaping
前磨齒	前磨齿	qián mó chǐ	premolar tooth
前臼齒	前臼齿	qián jiù chǐ	premolar tooth (immediately behind canine teeth in some mammals)
前齒齦	前齿龈	qián chǐ yín	alveolar/front part of the alveolar ridge
劍齒虎	剑齿虎	jiàn chǐ hǔ	saber-toothed tiger
反鋸齒	反锯齿	fǎn jù chǐ	anti-aliasing
口齒	口齿	kǒu chǐ	mouth and teeth/enunciation/to articulate/diction/age (of cattle, horses etc)
口齒不清	口齿不清	kǒu chǐ bù qīng	to lisp/unclear articulation/inarticulate
口齒伶俐	口齿伶俐	kǒu chǐ líng lì	eloquent and fluent speaker (idiom); grandiloquence/the gift of the gab
口齒清楚	口齿清楚	kǒu chǐ qīng chu	clear diction/clear articulation
口齒生香	口齿生香	kǒu chǐ shēng xiāng	eloquence that generates perfume (idiom); profound and significant text
咬人狗兒不露齒	咬人狗儿不露齿	yǎo rén gǒu r5 bù lù chǐ	lit. the dog that bites does not show its fangs (idiom)/fig. You can't tell the really dangerous enemy from his external appearance.
咬牙切齒	咬牙切齿	yǎo yá qiè chǐ	gnashing one's teeth (idiom); displaying extreme anger/fuming with rage between gritted teeth
哀哭切齒	哀哭切齿	āi kū qiè chǐ	weeping and gnashing one's teeth (idiom)
唇亡齒寒	唇亡齿寒	chún wáng chǐ hán	lit. without the lips, the teeth feel the cold (idiom); fig. intimately interdependent
唇齒	唇齿	chún chǐ	lit. lips and teeth (idiom); fig. close partners/interdependent
唇齒相依	唇齿相依	chún chǐ xiāng yī	lit. as close as lips and teeth (idiom); closely related/interdependent
唇齒音	唇齿音	chún chǐ yīn	labiodental (e.g. the consonant f in standard Chinese)
啟齒	启齿	qǐ chǐ	to open one's mouth/to start talking
嚙齒	啮齿	niè chǐ	a rodent (rat, rabbit etc)
嚙齒動物	啮齿动物	niè chǐ dòng wù	rodent
嚙齒目	啮齿目	niè chǐ mù	order of rodents (rats, squirrels etc)
嚙齒類	啮齿类	niè chǐ lèi	rodents (rat, rabbit etc)
巨齒鯊	巨齿鲨	jù chǐ shā	see 巨牙鯊|巨牙鲨[jù yá shā]
差動齒輪	差动齿轮	chā dòng chǐ lún	differential gear
幼齒	幼齿	yòu chǐ	(Tw) naive and innocent (girl or boy)/underage prostitute/(Taiwanese, Tai-lo pr. [iù-khí])
怒目切齒	怒目切齿	nù mù qiè chǐ	to gnash one's teeth in anger
