龜	龟	guī	tortoise/turtle
六龜	六龟	Liù guī	Liugui or Liukuei township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
六龜鄉	六龟乡	Liù guī xiāng	Liugui or Liukuei township in Kaohsiung county 高雄縣|高雄县[Gāo xióng xiàn], southwest Taiwan
冊府元龜	册府元龟	Cè fǔ yuán guī	Prime tortoise of the record bureau, Song dynasty historical encyclopedia of political essays, autobiography, memorials and decrees, compiled 1005-1013 under Wang Qinruo 王欽若|王钦若 and Yang Yi 楊億|杨亿, 1000 scrolls
嫩苗龜	嫩苗龟	Nèn miáo guī	Turtwig, Japanese comic character, turtle with seedling growing out of its head
忍者神龜	忍者神龟	Rěn zhě Shén guī	Teenage Mutant Ninja Turtles, US comic book series, first appeared in 1984, also films, video games etc
忍者龜	忍者龟	Rěn zhě Guī	Teenage Mutant Ninja Turtles (Tw)/see 忍者神龜|忍者神龟[Rěn zhě Shén guī]
槓龜	杠龟	gàng guī	(Tw) to lose one's shirt (gambling)/to meet with failure/(Taiwanese, Tai-lo pr. [kòng-ku])
海龜	海龟	hǎi guī	turtle/Internet slang for 海歸|海归[hǎi guī]
烏龜	乌龟	wū guī	tortoise/cuckold
烏龜殼	乌龟壳	wū guī ké	tortoise shell
督龜	督龟	dū guī	(Tw) to doze off (from Taiwanese 盹龜, Tai-lo pr. [tuh-ku])
糞金龜	粪金龟	fèn jīn guī	dung beetle
糞金龜子	粪金龟子	fèn jīn guī zǐ	dung beetle
縮頭烏龜	缩头乌龟	suō tóu wū guī	a turtle that pulls its head in/(fig.) coward/chicken
老鼠拉龜，無從下手	老鼠拉龟，无从下手	lǎo shǔ lā guī , wú cóng xià shǒu	like mice trying to pull a turtle, nowhere to get a hand grip (idiom)/no clue where to start
金龜	金龟	jīn guī	tortoise/scarab beetle
金龜婿	金龟婿	jīn guī xù	wealthy son-in-law/wealthy husband
金龜子	金龟子	jīn guī zǐ	scarab
金龜車	金龟车	Jīn guī chē	Volkswagen Beetle (Tw)
隱龜	隐龟	yǐn guī	Mary River turtle (Elusor macrurus)
九尾龜	九尾龟	jiǔ wěi guī	nine-tailed turtle of mythology/The Nine-tailed Turtle, novel by late Qing novelist Zhang Chunfan 張春帆|张春帆
龜兒子	龟儿子	guī ér zi	(coll.) bastard/son of a bitch
龜公	龟公	guī gōng	pimp
龜友	龟友	guī yǒu	turtle enthusiast
龜孫子	龟孙子	guī sūn zi	(coll.) son of a bitch/bastard
龜尾市	龟尾市	Guī wěi shì	Gumi city in North Gyeongsang Province, South Korea
龜山	龟山	Guī shān	Guishan or Kueishan township in Taoyuan county 桃園縣|桃园县[Táo yuán xiàn], north Taiwan
龜山鄉	龟山乡	Guī shān xiāng	Guishan or Kueishan township in Taoyuan county 桃園縣|桃园县[Táo yuán xiàn], north Taiwan
龜板	龟板	guī bǎn	tortoise plastron/turtle shell
龜殼	龟壳	guī ké	tortoise shell
龜殼花	龟壳花	guī ké huā	Formosan pit viper/Trimeresurus mucrosquamatus
龜毛	龟毛	guī máo	(Tw) (coll.) indecisive/fussy/nitpicking/(Taiwanese, Tai-lo pr. [ku-moo])
龜甲	龟甲	guī jiǎ	tortoiseshell
龜甲寶螺	龟甲宝螺	guī jiǎ bǎo luó	Mauritius cowry/Mauritia mauritiana
龜甲萬	龟甲万	Guī jiǎ wàn	Kikkoman, Japanese brand of soy sauce, food seasonings etc
龜笑鱉無尾	龟笑鳖无尾	guī xiào biē wú wěi	lit. a tortoise laughing at a soft-shelled turtle for having no tail (idiom)/fig. the pot calling the kettle black
龜縮	龟缩	guī suō	to withdraw/to hole up
龜背竹	龟背竹	guī bèi zhú	split-leaf philodendron/Monstera deliciosa
龜船	龟船	guī chuán	"turtle ship", armored warship used by Koreans in fighting the Japanese during the Imjin war of 1592-1598 壬辰倭亂|壬辰倭乱[rén chén wō luàn]
龜苓膏	龟苓膏	guī líng gāo	turtle jelly, medicine made with powdered turtle shell and herbs/a similar product made without turtle shell and consumed as a dessert
龜茲	龟兹	Qiū cí	ancient Central Asian city state, flourished in first millennium AD, in modern Aksu 阿克蘇地區|阿克苏地区, Xinjiang
龜裂	龟裂	jūn liè	to crack/cracked/fissured/creviced/(of skin) chapped
龜趺	龟趺	guī fū	pedestal in the form of a tortoise
龜頭	龟头	guī tóu	head of a turtle/glans penis
