	Pinyin	Definition	Radical	Stroke count	HSK level	General Standard#	Frequency rank
的	de	possessive, adjectival suffix	白 106.3	8	1	1155	1
一	yī	one; a, an; alone	一 1.0	1	1	1	2
是	shì	indeed, yes, right; to be; demonstrative pronoun, this, that	日 72.5	9	1	1479	3
不	bù	no, not; un-; negative prefix	一 1.3	4	1	91	4
了	le	to finish; particle of completed action	亅 6.1	2	1	17	5
在	zài	be at, in, on; consist in, rest	土 32.3	6	1	388	6
人	rén	man; people; mankind; someone else	人 9.0	2	1	10	7
有	yǒu	have, own, possess; exist	月 74.2	6	1	390	8
我	wǒ	our, us, i, me, my, we	戈 62.3	7	1	761	9
他	tā	other, another; he, she, it	人 9.3	5	1	277	10
这	zhè	this, the, here	辵 162.4	7	1	837	11
个	gè	numerary adjunct, piece; single	丨 2.2	3	1	45	12
们	men	adjunct pronoun indicate plural	人 9.3	5	1	273	13
中	zhōng	central; center, middle; in the midst of; hit (target); attain	丨 2.3	4	1	113	14
来	lái	come, coming; return, returning	木 75.3	7	1	707	15
上	shàng	top; superior, highest; go up, send up	一 1.2	3	1	36	16
大	dà	big, great, vast, large, high	大 37.0	3	1	32	17
和	hé	harmony, peace; peaceful, calm	口 30.5	8	1	1131	19
国	guó	nation, country, nation-state	囗 31.5	8	1	1081	20
说	shuō	speak, say, talk; scold, upbraid	言 149.7	9	1	1717	24
时	shí	time, season; era, age, period	日 72.3	7	1	717	25
出	chū	go out, send out; stand; produce	凵 17.3	5	1	330	28
会	huì	assemble, meet together; meeting	人 9.4	6	1	486	29
你	nǐ	you, second person pronoun	人 9.5	7	1	782	32
对	duì	correct, right; facing, opposed	寸 41.2	5	1	341	33
生	shēng	life, living, lifetime; birth	生 100.0	5	1	263	34
能	néng	to be able; can, permitted to; ability	肉 130.6	10	1	2146	35
子	zi	offspring, child; fruit, seed of; 1st terrestrial branch	子 39.0	3	1	64	37
那	nà	that, that one, those	邑 163.4	6	1	564	38
下	xià	under, underneath, below; down; inferior; bring down	一 1.2	3	1	30	42
年	nián		干 51.3	6	1	444	45
后	hòu	queen, empress, sovereign; (simp. for 後) behind, rear, after	口 30.3	6	1	482	48
作	zuò	make; work; compose, write; act, perform	人 9.5	7	1	777	49
里	lǐ	unit of distance; village; lane	里 166.0	7	1	721	50
家	jiā	house, home, residence; family	宀 40.7	10	1	2099	56
多	duō	much, many; more than, over	夕 36.3	6	1	507	61
么	me	interrogative particle; repetition of a tune small; tender	丿 4.2	3	1	48	63
去	qù	go away, leave, depart	厶 28.3	5	1	204	64
学	xué	learning, knowledge; school	子 39.5	8	1	1273	66
都	dōu	metropolis, capital; all, the whole; elegant, refined	邑 163.9	10	1	1801	68
同	tóng	same, similar; together with	口 30.3	6	1	427	69
现	xiàn	appear, manifest, become visible	玉 96.4	8	1	949	70
没	méi	not, have not, none; drown, sink	水 85.4	7	1	867	72
面	miàn	face; surface; plane; side, dimension	面 176.0	9	1	1455	74
起	qǐ	rise, stand up; go up; begin	走 156.3	10	1	1789	75
看	kàn	look, see; examine, scrutinize	目 109.4	9	1	1539	76
天	tiān	sky, heaven; god, celestial	大 37.1	4	1	78	78
分	fēn	divide; small unit of time etc.	刀 18.2	4	1	146	79
好	hǎo	good, excellent, fine; well	女 38.3	6	1	581	82
小	xiǎo	small, tiny, insignificant	小 42.0	3	1	37	83
些	xiē	little, few; rather, somewhat	二 7.5	8	1	1069	86
样	yàng	shape, form, pattern, style	木 75.6	10	1	1849	88
