# 3000 most frequent characters from Wenlin application
#Simplified	Traditional	Pinyin	Meaning
的		de	(grammatical particle)  [dì] 目的 mùdì goal  [dí] 的确  [dī] cab
一		yī	one; 一定 certain; 一样 same; 一些 some
是		shì	to be  [tí]
不		bù	not  [bú] [fǒu] [fōu] [fū]
了		le	(particle) [liǎo] 了解 comprehend [liào] (=瞭) [liāo] [liáo]
人		rén	person; 人类 rénlèi humankind; 有人吗? anybody here?
在		zài	at; 现在 xiànzài now; 存在 cúnzài exist
我		wǒ	I, me; 我们 wǒmen we
有		yǒu	have; there is; 没有 haven't; 有的 some  [yòu] (=又)  [wěi]
中		zhōng	middle; in; 中国 Zhōngguó China  [zhòng] hit (a target)
这	這	zhè	[zhèi] this
大		dà	big; 大家 dàjiā everybody  [dài] 大夫 dàifu doctor  [tài]
国	國	guó	(国家) country; 中国 China; 美国 USA
上		shàng	over; top; (go) up; last, previous  [shǎng] 上声  [shang]
个	個	gè	[ge] (measure word); 个人 personal  [gě] 自个  [gàn]
来	來	lái	come; 起来 get up; 原来 it turns out   [lai]
他		tā	he, him; she, her; it; (其他 qítā) other  [tuó]
为	為	wèi	for, on account of  [wéi] be, become
到		dào	to, towards, until
地		dì	earth  [de] -ly (adverbial particle)
和		hé	and; with; harmony  [huo] 暖和  [hè] [huó] [huò] [hàn] [hú] [hē] [huō]
时	時	shí	(时间 shíjiān, 时候 shíhou) time; 小时 hour
们	們	men	(pluralizing suffix:) 我们 wǒmen we; 人们 people
年		nián	year; 今(明,去)年 this (next, last) year  [nìng]
生		shēng	give birth; life
会	會	huì	meet; can, able   [kuài] 会计 kuàijì accounting  [huǐ] 会儿 moment
出		chū	go out, emit; 出现 chūxiàn appear, emerge
就		jiù	just, simply, right away
子		zǐ	child   [zi] (noun suffix:) 桌子 zhuōzi table
要		yào	want; will  [yāo] 要求 yāoqiú demand  [yǎo]
也		yě	also; 也许 yěxǔ perhaps  [yí]
以		yǐ	using; so as to; as well as; 可以 kěyǐ may; 所以 suǒyǐ so  [sì]
说	說	shuō	say, speak    [shuì] try to persuade; 游说
学	學	xué	study, learn; 学校 school; 学生 student
得		de	(grammatical)  [dé] get, reach, achieve  [děi] should
对	對	duì	correct; yes; mutual; pair; 对不起 excuse me
下		xià	under; (go) down; next (as opposed to previous/last)
那		nà	[nèi] that      [nuó] 禅那  [nuò] 无那  [nǎ] (=哪) [něi] (=哪)  [né] [nā]
可		kě	(可以 kěyǐ) can; (可是 kěshì) but; 可能 kěnéng maybe   [kè] [gē]
过	過	guò	pass, go by, exceed; 过马路 cross the street
于	于/於	yú	(surname); (F於) in, at, to, from, by, than  [wéi] [yū] [xū]
之		zhī	s (similar to 的 de); it (classical pronoun)  [zhù] [zhì]
后		hòu	queen; (F後) after, behind
着	著	zhe	(grammatical particle) [zháo] [zhuó] touch  [zhāo]
主		zhǔ	lord, master; (主要 zhǔyào) main; 主义 zhǔyì -ism  [zhù]
能		néng	can, be able; 能够 be capable of; 可能 maybe  [tái] [nái] [nài] [xióng]
里	/裡	lǐ	village; half kilometer; (F裡) inside
多		duō	many, much; how
小		xiǎo	small; 大小 dàxiǎo size
而		ér	(而且 érqiě) and, furthermore; (然而 rán'ér) yet  [néng]
你		nǐ	you; 你们 nǐmen you (plural)
天		tiān	heaven; day; (天空 tiānkōng) sky; 天气 tiānqì weather
家		jiā	home, house; family; 国家 nation; 大家 everybody  [jie] [jià] [jia] [gū]
去		qù	go (opposite of 来 lái)  [qū]
工		gōng	(工作 gōngzuò) work; 工人 gōngrén worker
十		shí	ten; 十三 shísān thirteen; 五十 wǔshí fifty
用		yòng	use; 好用 useful; 不用 there's no need
作		zuò	do; make; 工作 work; 作业 homework   [zuō] 作坊 [zuó]
分		fēn	divide; fraction; minute  [fèn] limits of rights or duty  [fén] [bàn]
发	發髮	fā	(F發) emit  [fà] (F髮) hair  [fa] (F髮) 头发 hair
自		zì	(自己 zìjǐ) self; from, since; 自然 zìrán nature
成		chéng	(成为, 变成) become; 成功 succeed; 完成 perfect
都		dōu	all  [dū] (首都 shǒudū) capital city
方		fāng	side; square; 地方 dìfang place; 方面 fāngmiàn aspect  [fáng] [fǎng] [páng] [wǎng] [fēng]
民		mín	(人民 rénmín) people; 民主 mínzhǔ democracy
好		hǎo	good    [hào] to like   [hāo] 好好儿 hǎohāor
日		rì	sun; day; 日记 rìjì diary; 日光 rìguāng sunlight
还	還	hái	still, yet  [huán] return, give back  [fú]
经	經	jīng	longitude; scripture; ...; 已经 already; 易经 I Ching
没	沒	méi	(没有) not have  [mò] sink; overflow; disappear; confiscate  [me]
同	/衕	tóng	same, with; 同志 comrade  [tòng] 胡同 hútòng lane (F衕)
如		rú	(如果 rúguǒ) if; 如此 rúcǐ like this
她		tā	she, her  [jiě] [chí]
么	麼	me	(suffix:) 什么; 怎么  [má]  [yāo] (S幺) small  [mó] [ma]
起		qǐ	rise, start; 起来 get up; 对不起 excuse me   [qi]
本		běn	basis, origin; volume (book); 日本 Japan  [bēn]
行		xíng	go; ok; 行动 action  [háng] line; 行业 hángyè profession [hàng] 树行子 [héng] [xìng]
心		xīn	heart; 小心 be careful; 心理 psychology; 中心 center
所		suǒ	place; 所以 suǒyǐ so, therefore; 所有 suǒyǒu all
然		rán	虽然 although; 忽然 suddenly; 当然 of course; 自然 nature
事		shì	thing, event; 事情 shìqing situation  [zì]
现	現	xiàn	appear; 现在 now; 发现 discover; 现代 modern
三		sān	three; 第三世界 Third World
加		jiā	add; 参加 cānjiā join; 增加 zēngjiā increase
想		xiǎng	think, feel, consider
面	/麵	miàn	face, surface; (F麵) wheat flour; (面条 miàntiáo) noodle
开	開	kāi	open; 开始 kāishǐ begin   [kai]
电	電	diàn	(闪电 shǎndiàn) lightning; electricity; 电话 phone
种	種	zhǒng	kind; seed   [zhòng] to plant; cultivate  [chóng]
前		qián	before, front  [jiǎn]
当	當	dāng	serve as; (F噹) ding-dong  [dàng] (F當) (当作) regard as  [dǎng] (F當)
美		měi	beautiful
二		èr	two; 二月 Èryuè February
外		wài	outside; 外国人 wàiguórén foreigner; 意外 unexpected
道		dào	way, path; say; 知道 zhīdao know; 道教 Taoism  [dǎo] (=导) [dāo]
从	從	cóng	from, since   [cōng] 黑从从
动	動	dòng	move; 动物 animal; 活动 activity; 运动 sports
看		kàn	look  [kān] tend; 看守 kānshǒu guard
业	業	yè	商业 commerce; 工业 industry; 作业 homework
高		gāo	high, tall; 提高 tígāo improve; 高兴 gāoxìng happy  [gào]
者		zhě	one who...; 作者 zuòzhě author; 和平主义者
法		fǎ	(法律 fǎlǜ) law; (办法 bànfǎ) method
但		dàn	(但是 dànshì) but  [tǎn] [yàn]
其		qí	its; 其他 qítā other; 尤其 yóuqí especially  [jī] (=錤)  [jì]
理		lǐ	principle; 理论 lǐlùn theory; 管理 guǎnlǐ manage
些		xiē	some; (plural measure word:) 这些人 these people  [suò] [suō]
实	實	shí	true, real; 事实 fact; 实际上 actually; 实在 really  [shī]
只	/隻	zhǐ	only  [zhī] (F隻) (measure word): 一只猫 a cat
老		lǎo	old, venerable; 老师 teacher; 老虎 tiger
长	長	cháng	long  [zhǎng] grow up; chief, head
月		yuè	month; (月亮 yuèliang, 月球 yuèqiú) moon  [rù]
与	與	yǔ	and  [yù] 参与 cānyù participate in  [yú]
两	兩	liǎng	two; 50 grams
政		zhèng	政府 zhèngfǔ government; 政治 zhèngzhì politics  [zhēng]
文		wén	language, literature; 文化 wénhuà culture
部		bù	(部分 bùfen) part; 西部 western part; 全部 entire  [pǒu]
最		zuì	most; 最近 recently/soon; 最喜欢 favorite  [cuō]
样	樣	yàng	manner; 这样 like this; 怎么样 how  [yáng]
意		yì	(意思, 意义) meaning; 愿意 willing; 意见 opinion  [yī]
进	進	jìn	enter; go forward; 进步 jìnbù progress
很		hěn	very; 很不错 pretty good
机	機	jī	(机器 jīqì) machine; 收音机 shōuyīnjī radio  [wèi]
公		gōng	public; 公里 kilometer; 办公室 office; 公司 company
把		bǎ	grasp, hold; handle  [bà] 把子 bàzi, 把儿 bàr handle  [pá]
又		yòu	again; both...and...
力		lì	(力量 lìliang) strength; force
全		quán	whole, entire; 完全 completely; 安全 safety
点	點	diǎn	dot (丶); a little, bit; (点火) light a fire
四		sì	four; 四周 sìzhōu all around
头	頭	tóu	head; first; 头发 tóufa hair  [tou] 石头 stone
已		yǐ	(已经 yǐjīng) already
因		yīn	cause; 因为 because; 原因 reason
等		děng	equal; class; wait; et cetera (etc.)
问	問	wèn	ask; 问题 question, problem; 访问 visit
新		xīn	new; 重新 chóngxīn again; 新闻 xīnwén news
此		cǐ	this; 如此 like this (=这样); 此地 here (=这里)
名		míng	(名字 míngzi) name; 著名 zhùmíng famous; 名词 noun  [mìng]
己		jǐ	(自己 zìjǐ) self; 6th Heavenly Stem  [qǐ]
定		dìng	fix; 一定 yídìng definite; 决定 juédìng decide
正		zhèng	right, straight, correct  [zhēng] 正月, 新正
知		zhī	(知道 zhīdao) know; 知识 zhīshi knowledge  [zhì] (=智)
情		qíng	(感情 gǎnqíng) feeling, emotion; 爱情 àiqíng love
